,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.98,1.02,0.91,1.42,0.78,1.04,1.04,0.7,0.73,1.05,0.83,1.08,0.98,0.88,0.95
f_1,1.02,1.0,1.01,1.3,0.88,0.8,0.86,1.07,0.96,0.93,0.87,0.94,0.83,0.66,0.97,1.0
d_1,0.97,0.99,1.0,1.01,1.01,1.01,1.05,0.8,1.04,1.29,0.94,1.13,0.99,1.05,0.93,0.82
e_1,1.11,0.77,1.0,1.0,1.03,1.06,1.0,1.08,1.38,0.99,1.12,1.0,1.11,1.28,1.06,1.17
b_1,0.7,1.13,1.0,0.97,1.0,1.56,1.2,0.99,1.04,1.08,0.99,0.98,1.05,0.93,1.01,0.97
a_1,1.29,1.25,0.99,0.94,0.64,1.0,0.94,1.23,1.06,1.05,0.98,1.15,1.05,1.26,1.07,1.18
h_1,0.99,1.13,0.96,1.01,0.88,1.03,1.0,1.13,1.01,0.97,0.9,0.98,0.97,0.82,0.94,1.19
g_1,0.96,0.96,1.23,0.93,1.03,0.83,0.87,1.0,0.97,0.92,1.34,0.97,0.81,1.06,0.96,1.04
d_0,1.43,0.99,0.99,0.71,1.02,0.9,0.99,0.98,1.0,0.78,1.21,0.92,0.96,1.13,1.08,1.06
c_0,1.33,1.03,0.76,0.99,0.85,0.95,1.06,1.06,1.2,1.0,1.05,1.5,1.11,1.23,1.12,1.06
f_0,1.03,1.08,1.07,0.87,1.01,0.97,1.06,0.75,0.93,0.98,1.0,1.15,1.04,1.57,1.19,0.86
b_0,1.19,1.13,0.89,0.98,1.02,0.86,1.01,1.01,1.05,0.71,0.85,1.0,1.11,1.04,1.56,1.05
h_0,0.92,1.19,1.01,0.95,0.9,0.9,1.04,1.24,1.04,0.96,1.04,0.88,1.0,0.98,1.01,1.14
e_0,1.0,1.53,1.0,0.89,1.06,0.81,1.12,0.91,0.88,0.79,0.67,0.94,1.1,1.0,0.96,0.98
a_0,1.08,1.0,1.07,0.95,0.99,1.03,1.0,1.08,0.93,0.87,0.84,0.65,0.99,0.97,1.0,1.06
g_0,1.09,0.97,1.18,0.86,0.99,0.86,0.82,0.95,0.93,0.98,1.2,0.96,0.88,0.97,1.01,1.0
