,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.86,1.17,1.76,1.94,3.32,23.83,42.04,31.65,32.67,40.52,49.07,81.83,98.99,122.25,132.94
f_1,1.18,1.0,1.02,1.19,1.57,2.26,16.94,26.05,30.04,27.47,37.12,30.69,63.55,87.35,108.45,78.39
d_1,0.85,0.98,1.0,1.14,1.45,2.83,19.0,24.69,24.73,37.81,31.99,36.47,60.97,96.74,71.57,85.43
c_1,0.57,0.84,0.88,1.0,1.79,2.05,17.1,16.08,22.25,21.43,26.25,24.96,54.06,72.48,74.39,65.11
b_1,0.52,0.63,0.69,0.56,1.0,2.71,13.73,17.5,17.3,22.25,23.33,25.09,37.95,56.39,54.23,75.65
a_1,0.3,0.44,0.36,0.49,0.37,1.0,5.99,9.38,12.67,9.33,10.82,11.72,25.64,33.93,35.71,30.61
h_1,0.04,0.06,0.06,0.06,0.07,0.15,1.0,1.35,1.76,1.37,1.76,1.84,3.77,4.48,6.64,5.5
d_0,0.02,0.04,0.04,0.06,0.06,0.1,0.74,1.0,1.06,0.95,1.2,1.34,2.69,3.74,3.94,3.96
g_1,0.03,0.03,0.04,0.04,0.06,0.08,0.58,0.94,1.0,0.96,1.3,1.45,2.08,3.24,3.05,3.41
c_0,0.03,0.04,0.03,0.04,0.05,0.11,0.74,0.98,0.98,1.0,1.7,1.45,2.57,3.55,3.91,4.0
b_0,0.02,0.03,0.03,0.04,0.04,0.09,0.57,0.86,0.78,0.6,1.0,1.11,1.93,3.62,3.08,2.76
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.52,0.73,0.67,0.69,0.92,1.0,1.84,2.51,2.21,3.58
h_0,0.01,0.02,0.02,0.02,0.03,0.03,0.26,0.37,0.49,0.39,0.52,0.53,1.0,1.22,1.62,1.43
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.23,0.26,0.33,0.27,0.29,0.41,0.87,1.0,1.0,1.13
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.26,0.34,0.25,0.31,0.44,0.59,1.0,1.0,1.27
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.17,0.24,0.28,0.26,0.33,0.29,0.71,0.92,0.82,1.0
