,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.6,2.84,1.47,1.46,1.06,1.47,5.5,5.1,6.49,6.61,7.32,2.93,9.44,7.15,9.89,4.71
e_1,1.64,5.97,1.87,1.33,1.53,1.38,5.67,4.83,12.86,7.92,7.53,7.43,10.97,8.1,9.91,5.07
c_1,1.41,1.39,6.31,1.39,3.09,1.34,5.42,5.38,6.89,2.9,4.7,6.91,10.85,6.04,9.63,8.04
d_1,1.74,1.42,1.19,6.65,1.32,1.58,5.96,5.94,3.14,13.94,9.11,9.14,10.03,8.5,13.61,8.46
b_1,1.58,1.16,1.72,1.48,7.75,2.96,5.78,5.59,7.18,6.47,3.2,6.83,11.73,4.49,11.55,6.72
a_1,1.9,1.47,1.63,1.37,1.54,11.29,5.43,5.55,7.43,7.22,6.29,5.8,12.14,3.09,9.37,5.19
h_1,2.73,1.8,1.55,2.13,1.51,1.76,16.69,7.88,7.56,8.49,9.79,6.57,8.37,8.67,17.63,7.45
g_1,1.65,1.51,1.73,3.17,1.58,1.65,6.24,19.63,7.97,9.11,10.06,12.92,13.29,10.38,8.87,11.7
d_0,1.84,1.6,3.74,1.19,1.92,1.23,7.21,7.1,15.73,6.1,9.08,9.98,14.29,10.47,12.51,10.6
c_0,2.05,1.85,1.32,2.24,1.11,2.05,5.9,7.55,10.21,17.59,20.35,9.64,16.3,12.09,16.94,11.07
b_0,2.0,1.89,1.73,2.48,0.85,1.67,6.79,8.13,7.73,9.39,20.38,9.32,14.51,19.84,14.1,11.18
f_0,1.37,1.41,2.07,2.39,1.78,1.34,6.97,8.07,9.57,11.06,11.34,21.48,16.57,11.62,16.23,23.58
h_0,2.51,1.66,1.97,2.28,1.77,1.56,4.4,9.42,7.88,8.24,9.93,7.61,8.68,9.75,16.46,10.24
a_0,1.92,1.97,2.17,2.2,1.59,1.09,7.04,7.94,7.48,6.97,11.4,11.28,12.49,25.22,13.28,12.04
g_0,1.73,1.64,1.63,3.3,1.51,1.52,6.51,5.44,6.41,8.76,11.33,15.03,13.0,9.83,8.37,11.56
e_0,1.94,0.77,2.1,1.95,2.55,1.96,6.44,6.39,9.07,8.91,11.89,10.86,15.98,8.52,14.56,30.83
