,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.89,0.93,1.01,0.88,0.83,1.02,0.88,0.91,1.05,0.87,0.88,0.81,0.83,0.99
e_1,0.79,1.0,1.0,1.17,1.04,1.05,1.08,1.19,1.46,0.99,0.9,1.19,1.03,1.1,1.03,1.09
d_1,1.13,1.0,1.0,0.95,0.95,0.86,1.02,0.78,1.05,1.31,1.03,0.97,1.03,1.09,1.11,0.9
c_1,1.07,0.86,1.05,1.0,1.27,0.89,1.04,1.05,0.72,0.78,0.84,0.83,1.05,1.03,0.95,0.89
b_1,0.99,0.97,1.06,0.79,1.0,1.59,1.03,0.9,1.02,1.08,1.16,1.1,1.08,0.86,0.95,1.07
a_1,1.14,0.94,1.16,1.12,0.62,1.0,1.2,1.24,1.03,1.0,1.1,1.12,1.03,1.04,1.06,1.13
h_1,1.22,0.91,1.0,0.96,0.97,0.85,1.0,1.13,0.95,1.04,1.05,0.97,0.95,0.84,0.96,1.17
g_1,0.96,0.88,1.27,0.95,1.05,0.85,0.87,1.0,0.87,0.89,1.0,1.19,0.78,1.09,1.02,0.92
d_0,1.04,0.67,0.97,1.41,1.0,1.0,1.04,1.1,1.0,0.86,0.93,1.04,1.06,0.94,1.09,1.08
c_0,1.06,0.99,0.78,1.26,0.93,0.95,0.96,1.16,1.17,1.0,1.42,1.06,1.15,1.2,0.93,1.17
b_0,0.96,1.14,0.9,1.15,1.01,0.86,0.94,1.01,1.17,0.71,1.0,0.93,0.98,1.48,0.95,0.94
f_0,1.04,0.85,1.05,1.18,0.93,0.96,1.02,0.86,0.94,0.94,1.0,1.0,0.99,1.1,1.5,0.89
h_0,1.12,0.98,1.0,0.96,0.87,0.94,1.04,1.31,0.94,0.85,1.08,1.01,1.0,0.85,0.92,1.12
a_0,1.19,0.96,0.94,1.01,1.16,0.98,1.27,0.99,1.08,0.86,0.72,0.9,1.15,1.0,1.0,1.06
e_0,1.19,0.93,0.88,0.96,1.19,1.01,1.08,1.03,0.89,1.04,1.05,0.68,1.04,0.9,1.0,0.87
g_0,1.02,0.94,1.1,1.15,0.92,0.89,0.86,1.12,0.93,0.87,1.09,1.12,0.91,0.95,1.11,1.0
