,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.48,0.44,0.36,0.46,0.35,0.43,0.54,1.01,0.48,0.55,0.66,0.56,0.57,0.7,0.56,0.33
f_1,0.74,1.49,0.44,0.46,0.42,0.32,0.56,0.51,0.46,0.61,0.41,0.2,0.42,0.51,0.51,0.28
d_1,0.53,0.54,1.53,0.38,0.39,0.39,0.58,0.27,0.42,0.89,0.52,0.56,0.51,0.55,0.48,0.5
c_1,0.49,0.51,0.55,1.56,0.69,0.3,0.51,0.46,0.54,0.19,0.49,0.46,0.43,0.52,0.38,0.43
b_1,0.53,0.47,0.54,0.39,1.65,0.66,0.64,0.45,0.57,0.42,0.31,0.63,0.47,0.7,0.53,0.62
a_1,0.46,0.54,0.52,0.56,0.35,1.76,0.66,0.63,0.56,0.61,0.59,0.59,0.25,0.75,0.92,0.48
h_1,0.72,0.93,0.79,0.72,0.63,0.5,1.65,0.68,0.94,0.87,0.82,0.84,0.72,0.49,1.01,0.81
d_0,0.56,0.88,0.4,1.33,0.86,0.64,0.91,1.47,0.82,0.7,0.85,0.79,0.66,0.88,0.82,0.82
g_1,0.71,0.71,1.11,0.73,0.56,0.56,0.75,0.77,1.79,0.86,0.8,1.35,0.73,0.69,0.71,0.83
c_0,0.95,0.84,0.7,0.52,0.82,0.62,0.84,1.11,0.71,1.5,1.4,0.96,0.68,1.03,1.12,0.73
b_0,0.74,1.06,0.9,0.84,,0.47,0.94,1.04,0.85,0.71,1.59,0.88,1.21,0.89,1.01,0.91
f_0,0.8,0.62,0.89,0.89,0.65,0.63,0.89,1.05,0.66,0.8,0.91,1.62,0.9,0.99,0.97,1.44
a_0,0.71,0.92,0.87,1.01,0.75,,1.06,1.22,0.76,0.98,0.85,0.87,1.69,1.09,1.02,0.96
h_0,0.75,1.18,0.85,0.8,0.54,0.72,0.71,1.08,1.1,0.74,0.86,0.83,0.76,0.63,1.34,0.66
g_0,0.82,0.78,1.18,0.97,0.67,0.49,0.95,0.97,,0.77,1.04,1.24,0.82,0.87,0.66,0.75
e_0,0.35,1.33,0.9,0.9,0.73,0.69,0.94,0.97,0.82,0.95,0.87,0.72,0.81,1.05,1.13,1.66
