,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.52,0.48,0.43,0.47,0.78,0.24,0.63,0.52,0.47,0.2,0.59,0.39,0.6,0.45,0.38,0.48
f_1,0.51,1.52,0.54,0.72,0.39,0.28,0.51,0.56,0.47,0.51,0.18,0.54,0.51,0.27,0.45,0.5
d_1,0.45,0.46,1.53,0.4,0.47,0.35,0.57,0.49,0.32,0.92,0.53,0.65,0.58,0.54,0.44,0.49
e_1,0.51,0.42,0.42,1.54,0.46,0.4,0.49,0.46,0.96,0.5,0.55,0.52,0.69,0.27,0.43,0.64
b_1,0.38,0.55,0.4,0.48,1.57,0.73,0.66,0.48,0.64,0.54,0.53,0.24,0.53,0.49,0.46,0.46
a_1,0.74,0.53,0.48,0.46,0.36,1.75,0.51,0.59,0.61,0.6,0.53,0.54,0.63,0.63,0.19,0.63
h_1,0.65,1.02,0.76,0.69,0.53,0.67,1.66,0.9,0.82,0.92,0.84,0.91,0.51,0.53,0.7,1.04
g_1,0.68,0.62,1.07,0.7,0.65,0.52,0.87,1.74,0.82,0.87,1.29,0.81,0.75,0.88,0.88,0.58
d_0,1.34,0.88,0.46,0.67,0.66,0.55,0.73,0.83,1.48,0.75,0.92,0.82,0.81,0.7,0.75,0.88
c_0,0.64,0.87,0.8,0.77,0.6,0.62,0.93,0.89,0.94,1.55,0.96,1.58,1.03,0.93,0.99,1.18
f_0,0.74,0.54,0.96,0.74,0.81,0.8,0.82,0.71,0.88,0.97,1.58,1.04,0.94,1.29,0.89,0.89
b_0,0.79,0.99,0.81,0.84,0.4,0.54,0.8,1.0,1.02,0.83,0.77,1.57,1.05,0.85,1.5,0.97
h_0,0.79,1.06,0.83,0.77,0.79,0.69,0.52,1.25,1.04,0.87,0.95,0.85,0.68,0.72,0.93,1.15
e_0,0.89,1.21,0.77,,0.9,0.6,1.24,0.78,0.84,0.76,0.85,1.0,1.26,1.75,0.85,1.05
a_0,1.07,0.91,1.1,0.78,0.72,,1.02,0.74,0.89,0.69,0.72,0.49,0.88,0.69,1.67,1.13
g_0,0.89,0.71,1.26,0.71,0.83,0.56,0.78,0.58,0.89,0.83,1.18,0.87,0.91,0.66,0.8,0.64
