,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,0.9,1.06,0.87,0.68,0.54,0.46,0.66,0.4,0.4,0.45,0.33,0.33,0.38,0.34
f_1,1.29,1.0,0.83,0.95,0.74,0.72,0.37,0.44,0.41,0.36,0.39,0.33,0.28,0.3,0.26,0.27
d_1,1.11,1.19,1.0,0.95,0.79,0.73,0.54,0.39,0.49,0.6,0.4,0.41,0.38,0.35,0.26,0.3
c_1,0.95,1.06,1.05,1.0,1.41,0.65,0.53,0.46,0.35,0.38,0.31,0.39,0.36,0.3,0.32,0.32
b_1,1.15,1.33,1.25,0.71,1.0,1.16,0.57,0.57,0.42,0.55,0.5,0.45,0.41,0.38,0.33,0.34
a_1,1.45,1.39,1.36,1.54,0.87,1.0,0.84,0.66,0.62,0.62,0.67,0.6,0.54,0.39,0.45,0.41
h_1,1.85,2.67,1.91,1.93,1.78,1.22,1.0,1.03,0.88,0.8,0.79,0.73,0.78,0.73,0.72,0.52
g_1,2.15,2.14,2.63,2.07,1.9,1.62,0.97,1.0,0.97,0.75,0.84,1.01,0.7,0.76,0.71,0.65
d_0,1.55,2.51,1.96,3.1,2.3,1.49,1.1,1.02,1.0,0.83,0.89,0.79,0.96,0.74,0.87,0.62
c_0,2.42,2.69,1.71,2.57,1.71,1.49,1.23,1.32,1.19,1.0,1.51,0.82,0.96,0.76,0.82,0.8
b_0,2.58,2.52,2.47,3.63,2.12,1.33,1.27,1.18,1.05,0.68,1.0,0.95,0.85,1.17,0.72,0.71
f_0,2.31,2.68,2.32,2.54,2.08,1.69,1.41,1.0,1.25,1.18,1.04,1.0,0.95,0.94,0.73,1.05
h_0,3.19,3.49,2.76,2.76,2.31,1.85,1.29,1.48,1.05,1.03,1.19,1.01,1.0,0.85,1.15,0.73
a_0,3.02,3.22,2.99,3.34,2.55,1.99,1.38,1.33,1.39,1.32,0.92,1.12,1.18,1.0,0.91,0.83
g_0,2.92,3.72,3.87,3.06,2.71,2.12,1.33,1.39,1.19,1.22,1.34,1.39,0.87,1.12,1.0,0.88
e_0,2.9,4.01,3.5,2.97,2.88,2.42,1.99,1.46,1.59,1.31,1.48,0.96,1.34,1.28,0.97,1.0
