,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.76,0.53,1.02,0.66,0.62,0.51,2.23,1.58,3.23,3.39,2.66,0.83,4.32,2.69,3.5,2.51
d_1,0.63,6.04,0.51,0.5,0.6,0.58,2.47,2.45,5.32,0.65,3.45,3.81,4.41,3.17,5.14,3.18
e_1,0.65,0.59,6.08,0.63,0.5,0.54,2.2,2.19,2.9,5.28,2.64,2.97,5.01,2.54,4.12,0.79
c_1,0.6,0.57,0.58,6.89,1.13,0.61,1.95,1.77,0.58,3.26,2.05,2.86,3.84,2.59,4.52,3.03
b_1,0.56,0.67,0.49,0.75,7.46,1.04,2.23,2.07,1.93,2.66,0.66,2.58,4.02,2.16,3.47,3.26
a_1,0.72,0.65,0.74,0.44,0.54,9.63,2.44,2.28,2.58,2.73,3.67,1.99,4.8,1.05,4.29,2.07
h_1,1.4,1.03,0.96,1.05,0.99,0.96,14.38,4.44,5.4,4.25,6.1,5.29,2.16,4.42,8.79,5.58
g_1,1.14,1.59,0.79,0.98,1.0,0.89,3.44,18.16,4.84,3.66,5.77,7.8,7.72,5.77,2.7,4.67
c_0,1.34,1.23,0.92,0.39,0.82,1.09,3.89,4.51,14.24,4.87,11.53,6.26,8.53,5.25,7.17,5.93
d_0,1.08,0.23,0.95,2.03,0.96,1.05,3.58,5.34,3.96,14.34,6.76,6.15,6.56,4.5,7.75,5.97
b_0,1.03,1.41,0.97,1.31,0.32,0.77,4.34,4.58,4.72,5.56,16.55,6.23,9.66,12.84,7.73,6.55
f_0,0.39,1.2,1.01,1.11,1.16,0.94,4.44,4.75,5.4,5.38,6.67,17.78,7.44,5.38,9.69,13.55
h_0,1.23,1.15,1.13,1.13,0.84,1.17,1.44,4.87,4.84,4.94,5.64,4.78,2.61,5.42,10.57,5.37
a_0,1.17,1.21,1.1,1.12,0.99,0.36,3.61,4.26,4.95,5.57,5.14,6.51,10.37,24.41,10.49,4.95
g_0,1.03,1.57,0.8,1.21,0.94,0.91,3.75,2.22,5.55,5.46,4.86,7.91,6.78,5.51,3.08,6.54
e_0,0.84,1.36,0.63,1.14,0.94,1.48,4.49,4.67,4.89,4.5,5.78,5.92,9.11,6.05,9.15,24.65
