,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,1.19,1.51,1.06,0.97,0.88,2.21,4.02,2.23,2.28,2.66,2.77,2.94,2.51,2.15,3.26
f_1,1.62,2.47,1.18,1.04,1.03,1.16,1.84,2.28,2.15,2.35,2.38,1.72,2.72,2.14,1.94,2.65
c_1,0.98,1.11,2.49,1.21,1.82,0.89,2.11,2.24,2.14,1.28,2.09,2.48,3.02,2.61,2.33,2.82
d_1,1.08,1.17,0.92,2.54,1.25,1.1,2.46,1.72,2.13,3.96,2.67,2.48,3.17,2.75,2.67,2.92
b_1,1.16,1.08,0.97,1.12,2.72,2.03,1.93,2.42,1.96,2.43,1.39,2.4,3.16,2.49,2.8,2.64
a_1,1.4,1.18,1.15,1.16,0.88,3.21,2.27,2.16,2.24,2.66,2.89,2.47,3.67,1.95,2.58,3.58
h_1,1.17,1.67,1.12,1.35,1.11,1.09,4.27,2.54,3.16,2.64,2.54,2.83,2.28,2.86,2.38,4.47
d_0,1.1,1.38,2.02,0.78,1.29,1.19,2.75,3.83,2.11,2.2,2.89,2.73,3.24,2.97,3.22,3.29
g_1,1.07,1.16,1.15,1.75,1.15,1.16,2.23,2.66,4.5,2.87,3.05,4.07,3.04,2.64,2.98,2.96
c_0,1.21,1.46,1.12,1.21,1.07,1.25,2.78,2.83,2.5,4.08,4.87,2.87,3.81,2.96,3.5,3.62
b_0,1.22,1.28,1.43,1.44,0.74,1.06,2.61,2.91,2.41,2.33,4.27,2.88,3.67,5.04,3.91,3.6
f_0,1.01,1.08,1.32,1.33,1.33,1.32,2.62,2.92,2.17,2.66,3.26,4.33,3.47,2.67,5.64,4.1
h_0,1.18,1.72,1.27,1.3,1.1,1.02,2.13,2.69,3.06,2.69,2.75,2.95,2.72,2.84,2.84,4.3
a_0,1.19,1.46,1.27,1.41,1.23,0.93,2.56,3.34,2.12,3.42,2.46,2.84,3.56,4.95,2.95,3.18
e_0,0.85,1.6,1.42,1.3,1.26,1.64,2.91,2.54,2.25,2.41,2.36,2.26,3.6,2.79,5.11,4.42
g_0,1.14,1.13,1.11,2.03,1.38,1.2,2.14,2.19,1.72,2.52,3.08,3.58,3.09,3.06,3.03,2.8
