,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.68,1.18,1.13,1.3,1.08,0.37,0.26,0.38,0.26,0.25,0.33,0.16,0.26,0.43,0.19
f_1,1.06,0.43,1.13,1.25,1.06,1.13,0.25,0.25,0.35,0.23,0.22,0.37,0.13,0.22,0.19,0.19
d_1,1.19,1.36,0.41,1.24,1.14,1.08,0.32,0.25,0.22,0.37,0.21,0.22,0.16,0.22,0.26,0.12
c_1,1.02,1.3,1.72,0.39,1.2,1.19,0.4,0.4,0.43,0.15,0.29,0.24,0.19,0.25,0.25,0.17
b_1,1.45,1.53,1.45,0.76,0.36,1.45,0.42,0.35,0.36,0.29,0.4,0.28,0.21,0.32,0.31,0.23
a_1,1.73,1.58,1.47,1.52,0.75,0.33,0.49,0.38,0.43,0.38,0.49,0.37,0.27,0.76,0.31,0.27
h_1,2.04,2.32,2.0,2.33,1.96,1.73,0.3,0.39,0.67,0.46,0.44,0.42,0.45,0.41,0.38,0.32
c_0,2.5,2.84,1.36,3.85,2.62,2.35,0.7,0.31,0.66,0.59,0.49,0.44,0.37,0.48,0.42,0.32
g_1,2.57,2.97,2.3,2.44,2.48,1.93,0.53,0.44,0.28,0.48,0.5,0.47,0.27,0.48,0.43,0.45
d_0,1.56,2.4,3.28,2.65,2.86,2.68,0.77,0.54,0.81,0.35,0.57,0.46,0.36,0.5,0.52,0.38
b_0,2.64,2.52,2.21,2.74,3.88,2.24,0.72,0.32,0.69,0.49,0.32,0.45,0.34,0.6,0.48,0.33
f_0,2.67,4.37,2.46,2.62,2.71,2.06,0.68,0.48,0.48,0.56,0.52,0.3,0.43,0.54,0.49,0.27
h_0,2.78,2.95,2.62,3.05,2.85,2.49,1.18,0.6,0.98,0.58,0.69,0.62,0.57,0.53,0.47,0.42
a_0,2.93,3.37,2.49,3.68,3.66,3.54,0.84,0.5,0.76,0.61,0.32,0.5,0.44,0.28,0.52,0.37
e_0,4.07,4.72,2.65,3.47,2.89,2.12,0.79,0.61,0.8,0.65,0.61,0.32,0.46,0.6,0.28,0.38
g_0,3.04,3.68,2.86,3.34,3.15,3.01,0.69,0.63,1.41,0.58,0.69,0.64,0.41,0.65,0.58,0.58
