,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,10031.09,4181.33,2471.91,4415.59,6772.35,33171.84,3291006.77,4855668.59,8568296.92,12564369.1,7694790.12,27189863.6,100752913.56,92767447.6,74638351.65,349482527.33
e_1,2415.67,10807.98,2330.12,5002.99,10072.93,27889.88,2774123.32,5690984.5,19245868.62,15210132.16,23529004.55,26803660.73,125734844.16,91466054.32,48518721.82,438752324.26
d_1,2546.46,2221.57,12345.86,4030.08,7041.88,33892.16,3252016.9,5729785.84,4228142.26,27823260.86,23923474.66,26984631.19,133315257.99,98413034.23,117454965.43,442944536.69
c_1,2152.49,2188.32,2616.29,24717.68,15929.18,26235.99,2947423.13,5123929.49,9018391.46,2685127.27,22861961.16,17039401.04,99555784.75,86568809.33,100415972.45,367383223.48
b_1,2231.06,2389.67,2567.71,4729.04,50718.89,73183.06,3875225.71,4902266.49,12281746.57,9691891.99,17461615.44,8648285.47,113930309.71,52747432.74,88894223.65,343093772.69
a_1,2763.73,2116.59,2937.49,4244.43,8356.3,312247.56,3758334.86,5241674.44,7012679.92,13936326.15,19995374.79,23257580.96,133635760.17,29028041.68,95368879.33,387898857.55
h_1,3794.49,2372.87,3467.37,5797.17,9088.47,51143.83,11422482.39,8465559.49,11900898.41,12245678.7,21047554.84,27882905.93,69493408.06,101827730.26,117552235.32,637523955.19
g_1,2793.63,2550.72,4652.51,5759.64,8775.11,47141.13,4020893.24,20469437.2,10195014.53,15041025.54,34829807.64,28882183.06,116342869.01,123455289.14,122799149.68,248258963.01
d_0,2560.87,2966.53,1484.18,11366.69,10510.77,48594.74,4055030.1,7385389.04,26168587.73,10755741.44,29553775.4,25653114.64,137930282.85,127826834.68,93200453.47,482624114.86
c_0,3184.53,2769.28,3915.2,3729.37,8249.31,35153.09,4408682.93,6037890.88,11412091.75,36944757.63,25239262.87,65642032.11,162160519.57,156244504.59,138107372.71,566118052.84
f_0,1592.49,2314.65,4165.28,7274.93,11047.73,41892.08,4388228.78,6251258.34,12143459.59,20112050.84,60652618.76,25147713.37,154615365.53,97673478.66,264547311.49,673418577.73
b_0,3032.26,2304.92,3890.39,7185.89,4853.51,33815.22,4095528.66,6877471.95,14131730.33,17914858.12,27191275.48,78151894.73,174043863.42,249408279.66,124356905.34,605756839.17
h_0,4301.04,3077.04,3451.03,5521.19,8207.21,38061.66,2558178.69,10294229.39,11289701.06,16089021.69,22555349.37,33316040.12,83644703.39,114589083.28,99147802.87,739114177.42
a_0,2955.36,2394.15,4754.33,6046.3,10981.98,15509.45,3929185.94,6499920.79,11789295.78,15910526.63,25790289.79,27561186.37,164760337.04,338718761.04,149721261.36,672174695.73
e_0,3081.69,1511.79,3174.93,5980.51,11424.89,55448.31,5551167.19,5615864.21,16284554.82,17932578.89,28332053.37,34783326.86,178538343.3,124150309.45,363504111.84,435764237.98
g_0,2181.57,2546.46,4977.65,6013.62,10781.93,44589.68,3892681.68,5176879.48,9707858.16,20720932.33,41264954.53,34019503.8,131595976.3,117744519.53,153823983.61,319646318.14
