,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.53,0.63,0.67,0.86,0.73,0.61,0.85,0.78,1.52,0.9,0.96,0.91,0.98,0.79,0.61,0.85
d_1,0.8,1.54,0.84,0.62,0.69,0.58,0.95,0.76,0.62,1.37,0.96,0.87,0.79,0.87,0.7,0.81
f_1,1.13,0.67,1.54,0.75,0.69,0.56,0.64,0.75,0.78,0.85,0.84,0.64,0.88,0.81,0.62,0.9
c_1,0.72,0.81,0.83,1.57,1.14,0.49,0.78,0.81,0.74,0.5,0.61,0.65,0.92,0.76,0.71,0.72
b_1,0.73,0.77,0.77,0.63,1.59,1.12,1.04,0.85,0.89,0.87,0.5,0.76,0.86,0.57,0.68,0.82
a_1,0.82,0.95,0.8,0.85,0.61,1.74,0.89,1.08,0.94,0.96,1.08,1.09,1.15,0.53,0.85,1.04
h_1,0.93,0.93,1.37,1.02,0.76,0.84,1.78,1.34,1.13,1.17,1.2,0.99,0.98,0.94,0.85,1.27
g_1,0.87,1.41,1.05,0.99,0.92,0.66,1.08,1.8,0.94,1.3,1.17,1.47,1.13,0.82,1.0,0.91
d_0,0.76,0.88,1.08,1.76,0.97,0.72,1.15,1.21,1.6,1.02,1.22,1.12,1.28,0.95,1.11,1.12
c_0,1.0,0.99,1.03,0.86,0.84,0.9,1.22,1.18,1.22,1.64,2.01,1.3,1.36,1.11,1.16,1.08
b_0,0.91,1.12,1.09,1.23,0.8,0.81,1.16,1.25,1.18,0.99,1.69,1.31,1.28,1.68,1.03,1.08
f_0,0.92,1.14,0.9,1.19,0.91,0.83,1.31,1.11,1.35,1.16,1.17,1.69,1.56,0.96,1.96,1.07
h_0,0.96,1.26,1.43,1.14,1.04,0.72,0.98,1.42,1.24,1.11,1.28,1.05,1.05,1.03,1.03,1.47
a_0,1.02,0.98,1.15,1.2,1.2,0.7,1.48,1.45,1.29,1.18,1.25,1.52,1.53,1.72,1.23,1.2
e_0,0.8,1.4,1.36,1.22,0.97,0.74,1.48,1.12,1.36,1.28,1.4,1.04,1.62,1.22,1.79,1.21
g_0,1.03,1.48,1.08,1.17,0.94,0.83,1.13,0.97,1.2,1.3,1.38,1.8,1.27,1.27,1.13,0.99
