,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,7.04,10.27,7.49,7.72,7.17,3.42,3.53,2.48,3.31,2.72,2.94,2.14,1.86,,1.83
f_1,8.82,1.07,8.08,11.6,10.81,8.36,2.41,2.96,2.97,3.42,3.12,,2.27,1.45,1.94,1.78
d_1,10.07,8.84,1.07,8.37,7.6,9.77,3.72,2.6,3.17,,2.61,2.68,1.95,1.86,2.5,1.64
c_1,11.85,10.63,13.77,1.07,12.17,7.13,3.89,3.19,,2.01,3.43,3.04,2.5,2.11,3.11,2.4
b_1,11.5,9.19,10.85,6.99,1.07,12.54,5.28,4.6,3.63,3.12,,3.39,4.08,2.35,2.92,2.52
a_1,15.3,13.69,14.77,16.89,7.94,1.07,7.49,4.85,5.15,4.67,5.14,3.73,,4.67,,3.66
h_1,13.77,15.69,11.86,13.9,11.78,8.86,1.41,6.27,3.68,4.2,3.68,3.11,3.03,,2.65,2.4
g_1,17.4,17.95,15.52,15.21,13.98,16.26,4.23,1.41,3.86,3.8,3.48,6.35,3.85,2.79,3.81,
c_0,15.33,13.47,9.9,,15.57,10.89,5.41,5.45,1.73,4.35,5.92,5.0,3.85,3.51,4.37,2.32
d_0,8.7,15.02,,13.99,15.92,12.36,5.36,5.73,5.14,1.72,4.99,4.37,4.98,3.01,3.68,4.51
b_0,16.95,14.92,16.11,14.17,,12.38,5.41,8.11,2.99,4.59,1.77,4.16,6.73,4.41,4.36,3.4
f_0,18.06,,16.28,15.1,16.93,19.83,7.18,4.04,4.79,4.7,5.02,1.74,4.43,5.78,,2.64
a_0,25.11,21.14,22.38,29.03,21.9,,7.25,9.74,7.92,5.7,3.03,6.43,1.72,3.58,,3.59
h_0,21.02,20.02,20.05,16.3,14.44,12.78,,5.95,5.39,4.46,4.18,3.62,4.71,,3.25,4.83
e_0,,30.01,24.97,21.39,25.84,,9.25,7.87,6.72,6.99,5.94,,,6.96,1.71,4.81
g_0,26.48,22.94,22.49,20.25,17.6,16.99,8.71,,5.33,6.53,4.87,5.74,6.07,3.11,5.37,
