,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.41,0.44,0.67,0.58,0.64,0.56,0.33,0.32,0.35,0.26,0.31,0.27,0.24,0.28,0.24,0.33
f_1,0.66,0.4,0.62,0.52,0.56,0.61,0.26,0.29,0.32,0.25,0.28,0.24,0.18,0.24,0.23,0.22
c_1,0.49,0.61,0.38,0.73,0.69,0.56,0.33,0.18,0.29,0.29,0.24,0.25,0.25,0.25,0.26,0.24
d_1,0.66,0.68,0.56,0.38,0.56,0.49,0.29,0.32,0.23,0.3,0.26,0.31,0.21,0.28,0.18,0.23
b_1,0.59,0.64,0.4,0.67,0.36,0.67,0.33,0.27,0.34,0.34,0.28,0.35,0.23,0.29,0.21,0.27
a_1,0.62,0.66,0.58,0.65,0.38,0.31,0.35,0.31,0.35,0.32,0.34,0.4,0.25,0.3,0.25,0.35
h_1,0.55,0.62,0.58,0.56,0.53,0.51,0.23,0.25,0.31,0.24,0.24,0.24,0.24,0.22,0.2,0.22
d_0,0.4,0.53,0.72,0.69,0.64,0.55,0.35,0.23,0.32,0.22,0.25,0.23,0.26,0.25,0.22,0.26
g_1,0.55,0.59,0.6,0.61,0.54,0.46,0.25,0.29,0.21,0.27,0.25,0.26,0.18,0.22,0.23,0.23
c_0,0.62,0.6,0.8,0.42,0.55,0.52,0.33,0.38,0.29,0.22,0.25,0.29,0.21,0.28,0.19,0.26
f_0,0.53,0.69,0.6,0.57,0.55,0.46,0.31,0.26,0.22,0.25,0.21,0.27,0.23,0.23,0.16,0.32
b_0,0.56,0.59,0.76,0.49,0.61,0.53,0.33,0.29,0.31,0.18,0.23,0.2,0.21,0.28,0.19,0.26
h_0,0.55,0.64,0.52,0.57,0.55,0.5,0.34,0.26,0.33,0.26,0.23,0.27,0.24,0.26,0.23,0.24
a_0,0.54,0.58,0.58,0.54,0.56,0.69,0.34,0.26,0.33,0.22,0.23,0.17,0.21,0.18,0.2,0.22
g_0,0.54,0.57,0.54,0.55,0.6,0.52,0.29,0.26,0.32,0.26,0.25,0.26,0.18,0.25,0.23,0.23
e_0,0.59,0.62,0.65,0.57,0.53,0.47,0.31,0.26,0.3,0.27,0.16,0.25,0.21,0.23,0.19,0.18
