,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.92,1.22,0.95,0.88,0.78,0.56,0.66,0.57,0.61,0.54,0.52,0.49,0.5,0.48,0.51
d_1,1.08,1.0,1.07,0.94,0.85,0.78,0.7,0.56,0.85,0.66,0.76,0.56,0.59,0.62,0.57,0.42
e_1,0.83,0.93,1.0,1.14,0.98,0.86,0.76,0.75,0.69,0.9,0.67,0.71,0.68,0.6,0.7,0.8
c_1,1.05,1.05,0.88,1.0,1.35,0.87,0.64,0.65,0.6,0.48,0.58,0.62,0.63,0.58,0.54,0.66
b_1,1.12,1.18,1.02,0.74,1.0,1.35,0.88,0.68,0.78,0.77,0.54,0.71,0.62,0.64,0.61,0.64
a_1,1.28,1.28,1.16,1.14,0.76,1.0,0.91,0.97,0.72,0.72,0.86,0.82,0.84,0.79,0.71,0.67
h_1,1.78,1.46,1.31,1.58,1.19,1.09,1.0,1.12,0.8,0.82,0.76,0.79,0.9,0.7,0.75,0.88
g_1,1.49,1.8,1.36,1.56,1.41,1.06,0.91,1.0,0.93,0.88,0.81,1.09,0.76,1.02,0.84,0.83
c_0,1.69,1.15,1.48,1.79,1.24,1.4,1.24,1.08,1.0,1.2,1.39,0.93,1.03,0.98,0.94,0.86
d_0,1.61,1.57,1.08,2.09,1.4,1.32,1.16,1.17,0.83,1.0,0.89,1.07,0.96,0.84,0.92,0.94
b_0,1.7,1.36,1.49,1.82,1.81,1.14,1.27,1.21,0.73,1.1,1.0,0.88,0.96,1.31,0.91,0.92
f_0,1.82,1.78,1.45,1.58,1.44,1.27,1.21,0.9,1.08,0.95,1.12,1.0,1.17,1.01,1.3,0.74
h_0,2.01,1.72,1.55,1.61,1.52,1.18,1.07,1.3,0.95,1.02,1.07,0.9,1.0,0.81,0.99,1.09
a_0,1.91,1.67,1.66,1.6,1.67,1.45,1.42,1.05,1.07,1.18,0.8,1.09,1.24,1.0,1.14,1.02
e_0,2.18,1.73,1.49,1.83,1.69,1.36,1.27,1.15,1.13,1.03,1.14,0.78,1.06,0.87,1.0,0.89
g_0,1.82,2.38,1.31,1.5,1.59,1.56,1.12,1.16,1.12,1.01,1.1,1.31,0.94,1.06,1.05,1.0
