,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11576.28,5716.99,3838.87,4755.57,5793.07,28050.5,3546060.85,7673240.94,10256436.22,15811163.21,24748841.91,11682225.92,120328009.85,84044321.01,95050803.02,194152988.94
e_1,3296.65,13040.58,3396.76,5653.79,5745.74,29436.51,4093071.19,10490992.81,11374913.45,37189281.32,27656160.52,26368869.49,125656358.38,106326215.45,80624842.53,239679394.52
d_1,3083.99,3058.89,18388.62,3342.97,6286.82,34826.46,4515279.41,20033306.75,10839176.11,11324578.08,32622030.17,35382840.37,122232722.16,113228397.77,184866320.79,259784158.81
c_1,2950.9,2676.58,4357.62,21371.61,11377.9,23915.26,3175648.51,3808358.23,9547727.74,16400711.44,19305473.78,29265731.21,103768221.8,107818478.41,141373158.94,237315112.57
b_1,2653.01,2729.77,5022.9,4862.8,28565.58,68736.51,4160453.02,8304734.47,9993464.02,15654360.6,14349577.7,25703077.44,121685107.93,71253138.56,162312182.98,272633511.56
a_1,3009.03,2671.01,5132.95,6085.47,4877.47,236935.97,4493632.87,12281704.62,11071300.0,18412228.18,28958840.44,23944915.51,128609956.15,55513542.95,123728491.2,261473820.49
h_1,4845.46,3589.58,6172.95,5088.06,7592.0,39774.93,11546791.59,10402467.08,15482521.09,22458375.83,31745810.17,30425618.64,93359328.4,106495481.59,161443494.78,418159074.21
c_0,4181.32,4264.97,5679.65,4540.71,5184.39,44451.19,4805057.34,24938961.48,9847268.07,21046059.57,68226698.73,34164883.08,143689983.65,153614286.97,225204270.29,264543295.77
g_1,3210.02,3427.87,8748.53,5664.49,6684.92,39565.69,3926546.82,13318795.22,39223299.78,19335546.08,27417834.67,51676453.21,149566677.58,134594561.37,191619207.79,198034712.96
d_0,4093.29,4023.9,2539.65,12296.62,6220.24,43871.17,3821755.91,10334658.1,12012110.49,41228658.4,34382542.53,28957493.95,131344373.92,129516205.45,144614942.17,262184425.99
b_0,4106.65,4354.7,5679.65,6542.44,4962.53,26319.78,3039343.5,13281103.75,16027454.54,25387729.2,68395576.7,30668141.69,171604279.84,295527485.67,231406930.28,310894898.88
f_0,2622.83,3443.45,5775.3,7261.99,9316.62,42558.29,4720850.42,12496311.25,13125960.74,25295410.18,33898413.77,68750834.27,157301843.13,140020295.38,423793490.46,266639909.3
h_0,5127.27,3773.12,5490.4,6079.55,7032.81,42582.93,2730098.89,12330936.85,17821607.01,23865683.08,35768110.45,27696798.17,99950233.78,119147772.04,173688209.93,433992198.93
a_0,4369.4,4020.15,5743.97,6115.42,7261.34,23158.45,5713745.93,12244393.12,10213424.4,23909456.36,33040226.08,34846961.7,150281905.01,327038011.26,196697400.64,315975114.72
e_0,3899.76,2751.82,5385.7,6577.1,8862.5,32136.13,5326087.65,12444886.1,14941861.62,23413128.04,35820893.25,28126794.12,152613406.2,128811980.22,548696844.99,355362290.47
g_0,3145.96,3474.66,9305.45,6735.17,7223.36,37109.89,4648848.06,12435133.06,7728549.12,17216965.78,28126916.6,54556281.7,116138620.65,126115177.68,170285227.76,201740577.01
