,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.35,0.71,0.75,0.75,0.75,0.2,0.14,0.25,0.15,0.13,0.18,0.09,0.14,0.12,0.29
f_1,0.61,0.16,0.58,0.66,0.71,0.63,0.13,0.14,0.2,0.11,0.12,0.26,0.07,0.11,0.11,0.12
d_1,0.81,0.69,0.15,0.68,0.59,0.59,0.18,0.35,0.12,0.14,0.17,0.11,0.1,0.12,0.06,0.1
c_1,0.56,0.71,0.8,0.15,0.68,0.55,0.21,0.07,0.18,0.2,0.12,0.12,0.08,0.14,0.1,0.12
b_1,0.66,0.83,0.68,0.38,0.14,0.62,0.23,0.15,0.21,0.16,0.25,0.14,0.09,0.17,0.1,0.17
a_1,0.59,0.91,0.7,0.66,0.32,0.1,0.21,0.15,0.28,0.13,0.26,0.15,0.13,0.49,0.1,0.14
h_1,0.47,0.62,0.46,0.53,0.56,0.51,0.06,0.12,0.16,0.12,0.09,0.1,0.12,0.09,0.09,0.11
d_0,0.32,0.49,0.81,0.58,0.58,0.49,0.14,0.06,0.17,0.1,0.12,0.12,0.09,0.1,0.11,0.12
g_1,0.51,0.6,0.55,0.56,0.57,0.56,0.11,0.12,0.05,0.1,0.1,0.09,0.06,0.09,0.12,0.11
c_0,0.5,0.53,0.31,1.1,0.59,0.48,0.15,0.16,0.15,0.06,0.12,0.12,0.08,0.1,0.08,0.11
b_0,0.46,0.54,0.44,0.71,0.82,0.5,0.17,0.1,0.13,0.05,0.05,0.1,0.07,0.09,0.07,0.09
f_0,0.55,1.04,0.47,0.61,0.43,0.48,0.15,0.12,0.08,0.1,0.1,0.05,0.07,0.09,0.05,0.09
h_0,0.52,0.55,0.46,0.49,0.56,0.49,0.22,0.1,0.14,0.09,0.09,0.09,0.12,0.08,0.08,0.09
a_0,0.47,0.51,0.46,0.66,0.8,0.75,0.14,0.13,0.13,0.09,0.05,0.09,0.08,0.04,0.09,0.09
g_0,0.58,0.6,0.47,0.53,0.56,0.48,0.09,0.13,0.22,0.11,0.12,0.09,0.07,0.09,0.09,0.1
e_0,0.85,0.99,0.45,0.46,0.47,0.44,0.14,0.12,0.14,0.1,0.12,0.04,0.06,0.1,0.06,0.04
