,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,1.08,1.4,1.67,3.28,24.11,31.98,38.92,30.09,42.57,46.21,79.78,74.85,102.97,146.45
f_1,1.14,1.0,1.01,1.09,1.5,2.93,19.81,24.73,29.76,35.97,38.34,31.88,46.75,86.1,76.19,113.44
d_1,0.93,0.99,1.0,0.85,1.36,2.9,21.69,17.62,23.7,39.74,35.63,32.93,72.81,67.96,90.71,90.04
c_1,0.72,0.92,1.17,1.0,1.97,2.07,21.32,20.34,15.93,21.99,31.88,35.23,54.16,61.39,80.17,114.28
b_1,0.6,0.66,0.74,0.51,1.0,3.54,13.6,19.3,24.73,26.94,26.92,29.26,44.2,50.37,58.08,82.15
a_1,0.3,0.34,0.34,0.48,0.28,1.0,9.27,8.37,8.96,9.09,13.08,14.07,19.98,23.43,28.47,36.57
h_1,0.04,0.05,0.05,0.05,0.07,0.1,1.0,1.45,1.0,1.34,1.67,1.68,2.93,3.84,4.17,5.75
g_1,0.03,0.04,0.06,0.05,0.05,0.12,0.69,1.0,1.01,1.48,1.26,2.14,2.23,3.06,4.74,4.87
d_0,0.03,0.04,0.04,0.07,0.04,0.11,0.97,1.02,1.0,1.15,1.4,1.64,2.78,2.99,3.76,5.06
c_0,0.03,0.03,0.03,0.05,0.04,0.1,0.75,0.71,0.88,1.0,1.52,1.39,2.29,2.63,3.22,4.59
b_0,0.02,0.03,0.03,0.03,0.04,0.07,0.56,0.77,0.72,0.66,1.0,1.07,1.67,2.86,2.13,3.24
f_0,0.02,0.04,0.03,0.03,0.03,0.07,0.56,0.48,0.63,0.73,0.98,1.0,1.6,1.72,4.36,2.54
h_0,0.01,0.02,0.01,0.02,0.02,0.05,0.34,0.46,0.35,0.44,0.58,0.63,1.0,1.21,1.46,2.05
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.27,0.32,0.36,0.4,0.34,0.54,0.82,1.0,1.12,1.56
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.24,0.2,0.3,0.32,0.49,0.23,0.7,0.89,1.0,1.34
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.21,0.18,0.23,0.3,0.4,0.5,0.64,0.74,1.0
