,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.88,0.09,0.09,0.06,0.06,0.06,0.08,0.01,0.05,0.14,0.08,0.07,0.08,0.06,0.05,0.07
e_1,0.08,0.88,0.08,0.1,0.06,0.05,0.07,0.16,0.06,0.07,0.07,0.08,0.08,0.05,0.02,0.06
f_1,0.09,0.15,0.87,0.08,0.05,0.05,0.08,0.07,0.07,0.08,0.01,0.07,0.06,0.04,0.03,0.05
c_1,0.09,0.1,0.09,0.87,0.13,0.04,0.06,0.08,0.05,0.01,0.07,0.05,0.1,0.04,0.03,0.08
b_1,0.09,0.07,0.08,0.09,0.87,0.1,0.08,0.07,0.05,0.07,0.07,0.01,0.07,0.03,0.05,0.08
a_1,0.09,0.09,0.06,0.07,0.08,0.87,0.08,0.1,0.06,0.08,0.08,0.07,0.08,0.01,0.06,0.06
h_1,0.15,0.11,0.25,0.15,0.1,0.06,0.52,0.13,0.14,0.13,0.1,0.11,0.05,0.08,0.09,0.13
d_0,0.06,0.15,0.14,0.29,0.13,0.09,0.12,0.36,0.07,0.1,0.13,0.1,0.13,0.07,0.08,0.11
g_1,0.24,0.12,0.13,0.13,0.13,0.07,0.09,0.15,0.52,0.12,0.19,0.14,0.13,0.09,0.11,0.03
c_0,0.16,0.14,0.21,0.04,0.1,0.07,0.16,0.16,0.1,0.4,0.14,0.29,0.16,0.1,0.1,0.18
f_0,0.17,0.12,0.07,0.18,0.14,0.08,0.13,0.17,0.14,0.12,0.36,0.15,0.17,0.1,0.2,0.13
b_0,0.19,0.14,0.19,0.17,0.04,0.07,0.13,0.17,0.11,0.13,0.15,0.38,0.18,0.2,0.11,0.12
h_0,0.21,0.13,0.26,0.12,0.11,0.05,0.03,0.14,0.12,0.1,0.11,0.12,0.06,0.09,0.08,0.14
a_0,0.18,0.16,0.2,0.16,0.09,,0.15,0.17,0.06,0.15,0.17,0.12,0.15,0.36,0.13,0.13
e_0,0.21,0.03,0.19,0.16,0.12,0.08,0.15,0.18,0.1,0.13,0.15,0.13,0.17,0.09,0.35,0.14
g_0,0.24,0.11,0.16,0.12,0.11,0.08,0.12,0.11,0.06,0.13,0.23,0.15,0.16,0.1,0.08,0.07
