,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.07,9.5,11.0,9.12,10.73,9.34,3.02,2.4,3.98,2.24,,2.83,1.86,2.66,2.46,1.39
f_1,9.6,1.07,11.64,8.92,7.24,7.22,2.85,3.53,3.1,3.01,2.62,,1.89,2.28,2.55,2.1
e_1,9.85,5.77,1.07,7.62,9.36,8.72,4.17,4.04,2.93,2.91,2.83,2.73,2.17,3.16,,2.44
c_1,11.65,13.23,11.24,1.07,12.02,7.44,3.31,3.56,,2.77,1.82,2.85,2.2,3.04,2.49,2.73
b_1,9.92,11.47,9.72,8.36,1.07,17.36,4.15,3.25,4.47,,3.55,2.37,2.63,3.67,,1.93
a_1,13.9,12.51,12.93,20.78,6.02,1.07,5.68,5.01,3.94,5.84,4.81,3.9,3.67,,3.47,2.79
h_1,15.15,14.24,13.21,13.33,12.43,10.57,1.41,6.6,4.35,4.02,3.52,3.71,,2.99,3.73,3.28
g_1,17.77,17.54,16.27,15.87,19.39,18.46,4.11,1.41,4.13,4.57,5.02,4.07,3.63,4.09,3.19,
c_0,8.15,14.36,15.15,,11.41,12.96,5.18,5.71,1.7,4.33,4.56,4.97,3.1,4.47,3.76,2.84
b_0,18.2,13.3,17.7,19.28,,11.7,5.91,5.67,2.88,1.72,5.51,4.59,2.53,5.65,4.41,3.19
d_0,,15.78,8.74,13.57,16.99,12.88,8.19,5.5,5.73,3.81,1.8,5.33,3.59,4.89,4.72,2.88
f_0,15.47,,20.14,16.26,21.54,18.09,6.89,5.22,4.25,4.57,4.56,1.77,3.94,3.47,,2.41
h_0,15.98,22.84,15.82,16.23,13.88,10.02,,4.63,4.64,5.58,4.21,4.47,,3.76,4.07,3.76
a_0,24.15,24.34,25.49,19.92,16.28,,8.65,7.32,5.61,3.92,5.37,8.2,5.47,1.7,,6.23
e_0,22.35,24.32,,23.73,,19.78,8.66,9.41,6.9,7.35,5.99,,4.17,,1.69,4.5
g_0,23.46,18.45,22.21,15.75,23.97,23.76,5.29,,6.06,6.76,6.23,6.37,3.8,3.34,4.99,
