,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.44,1.57,1.53,1.74,1.64,1.43,0.34,0.47,0.41,0.33,0.67,0.36,0.17,0.31,0.3,0.32
e_1,0.98,0.44,1.82,1.82,1.69,1.85,0.58,0.54,0.38,0.36,0.48,0.46,0.26,0.42,0.82,0.27
d_1,1.9,2.01,0.43,1.7,1.73,1.54,0.46,0.34,0.89,0.31,0.28,0.29,0.23,0.27,0.35,0.16
c_1,1.9,1.62,2.13,0.4,1.82,2.12,0.5,0.52,0.2,0.63,0.33,0.34,0.27,0.38,0.34,0.25
b_1,2.28,1.66,2.35,1.09,0.38,1.97,0.63,0.64,0.38,0.54,0.39,0.97,0.37,0.4,0.4,0.28
a_1,2.62,2.91,2.55,3.05,1.13,0.32,0.6,0.65,0.48,0.64,0.56,0.68,0.39,1.2,0.47,0.35
h_1,2.91,3.01,2.92,3.05,2.37,2.25,0.32,0.79,0.68,0.57,0.53,0.59,0.67,0.53,0.44,0.46
g_1,3.21,3.09,2.92,3.0,3.02,2.5,0.7,0.31,0.65,0.7,0.65,0.6,0.31,0.7,0.68,0.56
d_0,3.35,1.79,5.13,3.67,2.88,3.93,0.92,1.05,0.36,0.74,0.66,0.65,0.49,0.69,0.48,0.61
c_0,3.53,3.3,1.7,8.44,3.74,3.25,1.23,0.91,1.09,0.36,0.61,0.73,0.49,0.74,0.76,0.39
f_0,5.98,2.93,2.97,3.36,3.79,3.35,1.2,0.7,0.62,0.7,0.33,0.62,0.55,0.74,0.64,0.3
b_0,3.23,3.22,2.8,5.33,7.42,3.24,1.08,0.99,0.78,0.34,0.92,0.32,0.45,0.85,0.57,0.46
h_0,3.94,3.62,3.33,4.78,3.9,3.22,2.11,1.4,0.97,0.79,0.88,0.73,0.89,0.72,0.65,0.62
a_0,3.73,4.03,3.56,4.5,5.99,8.8,1.28,0.96,0.83,0.65,0.96,0.41,0.55,0.32,0.75,0.5
e_0,4.85,6.19,3.62,3.51,3.86,3.87,1.18,1.05,1.14,0.69,0.42,0.89,0.75,0.77,0.31,0.49
g_0,5.35,4.37,4.45,4.99,4.95,4.22,1.02,2.04,1.11,0.84,0.77,0.82,0.49,0.76,0.93,0.97
