,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.22,0.43,0.19,0.2,0.18,0.19,0.39,0.42,0.31,0.41,0.52,0.09,0.65,0.38,0.53,0.25
e_1,0.27,2.29,0.17,0.24,0.18,0.11,0.43,0.53,0.34,0.88,0.44,0.49,0.67,0.39,0.54,0.13
d_1,0.24,0.21,2.32,0.22,0.23,0.12,0.49,0.87,0.33,0.09,0.39,0.42,0.51,0.36,0.54,0.45
c_1,0.25,0.18,0.25,2.36,0.38,0.17,0.45,0.11,0.3,0.47,0.35,0.41,0.59,0.27,0.6,0.36
b_1,0.22,0.2,0.27,0.26,2.59,0.31,0.43,0.47,0.32,0.45,0.11,0.4,0.52,0.39,0.4,0.3
a_1,0.18,0.24,0.23,0.26,0.18,3.17,0.46,0.52,0.45,0.53,0.44,0.45,0.59,0.09,0.4,0.35
h_1,0.53,0.38,0.46,0.33,0.32,0.33,2.73,0.75,0.83,0.73,0.88,0.75,0.37,0.58,1.28,0.61
c_0,0.51,0.38,0.38,0.2,0.3,0.25,0.8,2.28,0.87,0.97,1.67,0.99,1.07,0.76,0.86,0.77
g_1,0.39,0.38,0.59,0.38,0.33,0.24,0.55,0.7,3.17,0.57,0.72,1.13,0.76,0.56,0.28,0.61
d_0,0.46,0.37,0.11,0.71,0.32,0.21,0.87,0.66,0.71,2.31,0.93,0.79,0.86,0.78,1.2,0.8
b_0,0.56,0.43,0.37,0.44,0.09,0.26,0.58,0.87,0.79,0.86,2.63,1.05,1.04,1.69,1.04,0.73
f_0,0.16,0.32,0.44,0.49,0.39,0.32,0.81,0.93,0.7,0.95,0.8,2.66,1.0,0.88,0.95,1.6
h_0,0.69,0.37,0.4,0.41,0.24,0.26,0.19,0.81,0.92,0.82,0.75,0.73,0.42,0.68,1.01,0.51
a_0,0.43,0.33,0.62,0.42,0.29,,0.73,0.8,0.55,0.97,0.69,0.96,1.25,2.71,0.84,0.79
g_0,0.33,0.37,0.63,0.37,0.35,0.23,0.71,0.81,0.33,0.83,0.71,1.34,0.94,0.59,0.4,0.63
e_0,0.48,0.14,0.49,0.45,0.44,0.33,0.66,1.16,0.53,0.95,0.71,1.03,1.06,0.45,0.87,2.91
