,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,3.92,0.36,0.8,0.4,0.3,0.4,0.73,0.59,0.79,0.63,0.14,0.77,0.8,0.79,0.85,0.44
d_1,0.49,4.01,0.37,0.31,0.37,0.26,0.7,0.84,0.26,1.48,0.94,1.02,1.08,0.9,0.87,0.79
e_1,0.4,0.31,4.0,0.39,0.42,0.44,0.8,0.66,1.4,0.87,0.85,0.86,1.05,0.95,0.64,0.2
c_1,0.42,0.42,0.34,4.23,0.8,0.24,0.74,0.62,0.82,0.14,0.73,0.67,0.87,0.85,0.85,0.98
b_1,0.43,0.39,0.34,0.43,4.68,0.7,0.78,0.64,0.74,0.82,0.81,0.19,0.82,0.89,0.58,0.94
a_1,0.39,0.46,0.34,0.41,0.35,7.16,0.76,0.78,0.84,0.88,1.02,0.81,0.82,0.75,,0.72
h_1,0.88,0.6,0.54,0.87,0.56,0.54,5.02,1.67,1.35,1.33,1.36,1.63,0.55,2.21,1.5,1.92
g_1,0.56,1.02,0.65,0.86,0.5,0.76,0.96,6.2,1.2,1.62,2.07,1.37,1.4,0.4,1.21,1.67
d_0,0.7,0.32,0.68,1.27,0.69,0.75,1.42,1.45,3.89,1.22,0.97,1.4,1.15,1.33,1.64,1.35
c_0,0.71,0.74,0.73,0.3,0.58,0.88,1.53,1.71,1.48,4.09,2.05,2.79,1.79,1.59,1.8,1.8
f_0,0.22,0.87,0.63,0.74,0.79,0.76,1.5,1.7,1.31,1.59,4.52,1.67,1.55,1.57,1.72,3.5
b_0,0.74,0.91,0.55,0.98,0.23,0.66,1.21,1.04,1.65,1.22,1.65,4.3,1.63,1.48,3.12,1.82
h_0,1.04,0.76,0.59,0.58,0.73,0.64,0.45,1.83,1.09,1.35,1.73,1.24,0.52,1.82,1.49,1.29
g_0,0.56,1.15,0.63,0.71,0.55,0.66,1.27,0.63,1.35,1.56,2.16,1.74,1.2,0.53,1.4,1.73
a_0,0.65,0.89,0.75,0.8,0.63,,1.62,1.12,1.42,0.83,1.67,1.28,1.78,1.91,6.43,1.17
e_0,0.65,0.96,0.25,0.7,0.67,0.78,1.48,1.87,1.4,1.53,1.48,1.88,1.9,1.81,2.1,6.73
