,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.2,1.18,1.48,1.96,3.59,22.46,38.67,25.6,37.71,48.42,48.98,73.2,88.19,85.3,127.32
f_1,0.84,1.0,1.42,1.51,1.56,2.97,16.13,22.26,25.86,29.81,32.56,33.73,52.98,72.19,88.2,74.91
e_1,0.85,0.7,1.0,1.58,1.79,3.21,16.31,23.11,25.38,35.85,35.3,49.31,62.8,75.26,88.77,86.66
c_1,0.68,0.66,0.63,1.0,1.8,1.97,9.29,13.27,16.12,13.61,16.85,25.39,40.8,46.42,55.48,65.3
b_1,0.51,0.64,0.56,0.56,1.0,3.05,12.06,15.07,16.12,14.19,22.68,26.96,37.56,44.67,54.14,54.93
a_1,0.28,0.34,0.31,0.51,0.33,1.0,6.02,7.69,8.86,8.52,11.91,15.1,22.74,22.65,31.54,23.59
h_1,0.04,0.06,0.06,0.11,0.08,0.17,1.0,1.33,1.79,1.53,1.82,2.57,3.52,3.97,5.45,4.97
c_0,0.03,0.04,0.04,0.07,0.06,0.13,0.74,1.0,1.21,1.34,2.08,1.7,2.72,3.85,3.7,3.75
g_1,0.04,0.04,0.04,0.06,0.06,0.11,0.55,0.84,1.0,0.92,1.23,1.87,2.15,2.87,3.21,3.26
d_0,0.03,0.03,0.03,0.07,0.07,0.11,0.65,0.75,1.07,1.0,1.35,1.41,2.26,2.69,2.98,2.96
b_0,0.02,0.03,0.03,0.06,0.05,0.08,0.56,0.49,0.81,0.76,1.0,1.44,1.9,3.26,2.52,2.84
f_0,0.02,0.03,0.02,0.04,0.04,0.07,0.4,0.58,0.56,0.66,0.73,1.0,1.47,2.15,1.6,3.24
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.28,0.37,0.46,0.44,0.54,0.68,1.0,1.16,1.62,1.36
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.26,0.35,0.41,0.31,0.52,0.87,1.0,1.14,1.25
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.28,0.31,0.31,0.37,0.63,0.62,0.87,1.0,1.2
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.29,0.3,0.35,0.35,0.31,0.69,0.78,0.78,1.0
