,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.44,1.11,2.22,2.32,2.14,1.98,0.65,0.54,0.38,0.45,0.45,0.47,0.32,1.32,0.39,0.45
f_1,1.9,0.44,1.72,1.79,2.1,2.09,0.41,0.61,0.44,0.39,0.75,0.45,0.25,0.39,0.39,0.36
d_1,2.61,2.21,0.42,2.22,2.21,1.67,0.61,0.37,0.34,1.14,0.45,0.37,0.26,0.37,0.18,0.31
c_1,1.58,2.38,2.51,0.41,2.28,2.18,0.6,0.78,0.92,0.22,0.36,0.43,0.28,0.34,0.3,0.43
b_1,2.32,2.94,2.53,1.23,0.38,2.23,0.8,0.99,0.6,0.5,0.49,1.13,0.4,0.46,0.36,0.57
a_1,3.61,2.86,2.5,2.6,1.37,0.34,0.87,0.68,0.55,0.52,0.62,0.73,0.35,0.55,0.45,1.54
h_1,3.45,3.64,3.3,3.23,2.87,2.89,0.33,0.94,0.7,0.77,0.67,0.71,0.88,0.62,0.47,0.6
g_1,3.65,4.03,3.84,4.64,3.74,3.27,0.74,0.31,0.76,0.92,0.9,0.75,0.43,0.72,0.92,0.85
c_0,4.09,3.66,1.93,10.55,4.14,3.59,1.09,1.02,0.4,1.18,0.84,0.76,0.61,0.7,0.54,1.09
d_0,1.96,3.92,7.37,3.98,4.1,4.43,1.06,1.24,0.85,0.4,0.73,0.88,0.56,0.97,0.66,0.84
f_0,3.29,7.9,3.86,4.48,3.91,3.94,1.18,0.7,0.73,0.77,0.36,0.83,0.62,0.75,0.35,0.72
b_0,3.42,3.92,3.54,5.85,9.6,4.59,1.1,1.01,0.46,0.97,0.75,0.35,0.59,0.98,0.65,0.78
h_0,4.31,4.35,3.77,4.15,5.02,3.5,2.26,1.53,1.02,1.01,0.98,0.9,1.03,0.83,0.64,0.86
e_0,8.77,6.23,4.57,5.1,3.84,4.86,1.05,1.48,0.76,1.07,0.46,0.81,0.84,0.32,0.49,0.94
g_0,4.49,5.71,4.67,5.06,5.05,4.53,1.22,2.4,0.99,1.02,0.97,0.87,0.53,1.04,0.93,0.89
a_0,4.78,5.44,5.34,4.75,5.07,13.21,1.54,1.28,0.85,1.19,1.09,0.46,0.7,1.19,0.74,0.31
