,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,2.16,1.57,2.34,2.33,1.99,0.87,0.95,0.91,0.66,0.77,0.74,0.66,0.67,1.1,0.54
d_1,2.82,1.06,2.61,2.19,2.15,1.72,1.02,0.62,1.09,0.75,0.67,0.59,0.43,0.67,0.52,0.39
f_1,2.62,2.1,1.06,2.09,2.25,2.17,0.62,0.87,0.61,0.64,0.63,1.01,0.41,0.65,0.49,0.55
c_1,2.17,2.95,2.41,1.06,2.88,2.0,0.91,0.89,0.47,0.97,0.61,0.62,0.53,0.54,0.58,0.44
b_1,2.52,2.73,2.67,1.61,1.07,2.97,1.3,1.04,0.87,0.93,1.13,0.83,0.58,0.6,0.71,0.61
a_1,3.54,3.88,3.69,4.56,1.87,1.07,1.16,1.68,1.17,1.11,1.25,0.98,1.04,1.25,1.1,0.83
h_1,6.05,5.67,7.9,6.39,4.89,5.36,1.34,2.24,1.91,1.74,1.88,1.71,1.8,1.37,1.3,1.4
g_1,6.68,7.0,6.89,6.4,6.01,4.61,2.04,1.33,1.9,1.92,1.98,2.02,1.21,1.39,1.84,2.12
d_0,4.09,10.55,7.52,8.17,7.5,5.73,2.56,3.33,1.55,2.24,2.34,2.04,1.63,1.83,1.82,1.53
c_0,6.98,4.53,7.0,12.26,7.36,6.85,2.81,2.38,2.68,1.56,2.56,2.36,1.8,2.03,1.81,1.44
b_0,6.57,6.42,7.91,10.93,12.27,5.88,2.61,2.86,2.24,1.24,1.51,2.08,1.61,1.95,1.74,1.39
f_0,7.86,7.76,10.28,9.78,8.46,5.42,3.26,2.14,2.69,2.27,2.4,1.55,2.02,1.72,2.24,1.12
h_0,9.6,11.62,10.43,10.2,10.21,7.14,4.69,4.03,2.97,2.86,2.96,2.39,2.89,2.39,2.07,2.17
a_0,9.94,8.94,10.32,10.78,14.69,13.73,4.26,4.93,3.32,2.84,2.03,3.21,2.66,1.66,2.54,1.99
e_0,13.62,11.99,13.97,11.44,12.27,9.35,4.62,3.55,3.46,3.23,3.54,1.8,2.49,2.7,1.64,2.36
g_0,12.61,12.75,11.8,12.94,12.09,9.05,3.76,5.65,4.12,3.83,4.12,3.94,2.17,3.01,2.84,3.29
