,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.77,0.59,1.52,0.61,0.55,0.58,0.75,0.78,0.83,0.99,0.9,0.53,0.89,0.88,0.65,0.73
d_1,0.74,13.77,0.58,0.53,0.6,0.59,1.02,0.97,2.48,0.45,1.39,0.98,0.94,0.97,1.08,0.97
e_1,0.71,0.5,13.13,0.83,0.62,0.62,1.0,0.91,0.86,2.37,1.0,0.95,1.04,1.05,0.67,1.03
c_1,0.54,0.61,0.53,14.11,1.7,0.69,0.75,0.84,0.44,0.92,0.68,1.08,0.93,0.93,0.97,1.05
b_1,0.62,0.78,0.52,0.69,15.08,1.66,0.97,0.77,0.8,0.93,0.5,0.97,0.94,0.77,0.94,0.95
a_1,0.73,0.82,0.61,0.74,0.6,22.16,0.87,1.07,0.83,0.75,1.13,0.98,1.33,0.49,1.08,0.9
h_1,1.18,0.9,0.57,0.79,0.61,0.56,4.01,1.69,0.9,0.82,0.81,1.18,0.79,0.94,1.11,1.57
g_1,0.57,1.77,0.63,0.81,0.68,0.61,1.14,4.62,1.01,0.71,0.97,1.97,1.02,1.33,1.26,0.88
c_0,0.92,0.87,0.75,0.5,0.52,0.8,1.31,1.11,2.48,0.83,3.03,1.02,1.23,1.54,1.27,1.35
d_0,0.82,0.37,0.67,2.54,0.83,0.64,1.02,0.97,0.46,2.42,0.88,1.15,0.93,1.16,1.16,0.93
b_0,0.84,0.78,0.86,0.78,0.54,0.63,1.22,1.33,1.17,1.16,2.6,1.1,1.16,3.24,1.25,1.2
f_0,0.52,0.94,0.56,1.01,0.67,0.69,1.41,1.14,1.15,0.85,1.18,3.38,1.49,1.27,3.12,1.39
h_0,1.2,0.8,0.79,0.77,0.77,0.72,0.74,1.53,0.87,0.9,1.13,1.0,0.73,1.15,1.11,1.78
a_0,0.87,0.81,0.8,0.77,0.67,0.47,1.4,1.11,1.22,0.99,1.07,1.27,1.38,3.26,1.18,1.34
e_0,0.82,0.91,0.38,0.93,0.76,0.73,1.36,1.04,1.14,0.94,1.09,1.17,1.07,0.97,4.01,1.35
g_0,0.77,1.8,0.47,0.57,0.75,0.7,1.18,0.8,1.17,0.59,1.11,2.11,1.05,1.27,1.41,0.84
