,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.86,2.31,2.09,2.58,2.03,2.29,8.21,17.34,6.88,9.21,10.5,10.52,16.89,9.53,16.72,7.59
f_1,3.63,6.16,2.1,2.28,1.92,1.68,7.64,10.47,7.37,9.54,11.11,5.92,16.46,10.57,13.34,8.15
d_1,2.1,2.46,6.45,1.7,1.92,1.92,8.46,5.66,9.96,19.37,11.67,10.41,16.56,14.17,16.59,11.47
c_1,1.8,2.16,1.82,6.94,4.32,2.4,7.84,10.74,7.53,5.71,7.69,10.04,14.76,11.35,14.75,11.46
b_1,1.99,2.07,2.12,2.29,7.85,4.42,8.18,9.76,6.87,9.17,6.29,10.9,13.23,7.96,13.62,13.26
a_1,2.31,2.54,2.05,2.41,2.24,10.5,7.9,10.76,7.81,8.34,8.79,10.19,17.15,6.6,15.92,10.9
h_1,2.29,3.13,2.8,2.08,2.12,2.51,18.43,11.05,10.54,10.5,11.77,11.88,12.46,11.89,24.81,12.18
d_0,2.11,2.61,1.48,4.79,3.0,1.93,8.4,17.8,7.58,6.28,11.13,10.61,17.79,13.14,17.28,12.76
g_1,1.97,2.3,3.86,2.49,2.22,2.02,8.09,9.54,22.61,12.52,12.01,17.17,17.27,14.03,12.34,14.58
c_0,2.29,2.86,2.72,1.94,1.66,2.61,11.06,9.89,10.06,19.68,21.5,13.07,20.4,16.78,20.94,14.85
b_0,2.31,2.73,2.73,2.54,1.4,2.15,9.63,12.27,9.41,11.22,20.95,12.95,20.66,27.47,19.84,14.36
f_0,1.87,2.14,2.61,2.71,2.72,2.48,10.04,12.22,10.02,10.14,13.44,22.29,18.57,14.11,21.63,25.75
h_0,2.41,3.36,2.52,2.57,2.17,1.99,6.23,10.77,11.34,9.81,11.85,12.12,12.77,12.3,20.94,12.82
a_0,2.5,3.07,2.6,2.79,2.22,1.21,9.96,10.77,9.35,11.08,12.89,13.18,23.98,27.81,18.25,11.99
g_0,2.09,2.02,3.75,2.6,2.52,2.31,8.21,10.49,7.09,9.53,11.0,17.54,17.0,12.48,17.51,17.61
e_0,1.45,2.72,2.48,3.24,2.63,2.96,8.77,10.25,9.61,9.79,11.51,11.64,19.0,14.23,15.91,29.9
