,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.41,0.47,0.67,0.78,0.7,0.65,0.38,0.36,0.29,0.36,0.35,0.35,0.27,0.43,0.31,0.33
f_1,0.74,0.41,0.61,0.64,0.68,0.6,0.27,0.38,0.31,0.3,0.36,0.32,0.22,0.25,0.28,0.27
d_1,0.77,0.72,0.39,0.71,0.63,0.56,0.37,0.26,0.3,0.4,0.31,0.29,0.24,0.29,0.19,0.26
c_1,0.52,0.71,0.73,0.38,0.82,0.68,0.35,0.37,0.35,0.19,0.26,0.28,0.26,0.26,0.25,0.3
b_1,0.66,0.76,0.75,0.41,0.35,0.77,0.43,0.45,0.38,0.3,0.3,0.37,0.29,0.34,0.27,0.29
a_1,0.75,0.74,0.74,0.65,0.41,0.31,0.38,0.36,0.32,0.32,0.34,0.38,0.26,0.28,0.26,0.43
h_1,0.64,0.69,0.61,0.61,0.55,0.58,0.24,0.37,0.3,0.3,0.28,0.29,0.31,0.27,0.24,0.25
g_1,0.63,0.64,0.69,0.65,0.59,0.56,0.27,0.21,0.29,0.3,0.34,0.29,0.19,0.27,0.3,0.3
c_0,0.68,0.66,0.44,0.93,0.61,0.6,0.36,0.32,0.23,0.41,0.3,0.34,0.25,0.29,0.23,0.37
d_0,0.43,0.66,0.79,0.75,0.69,0.66,0.36,0.34,0.26,0.24,0.29,0.3,0.23,0.36,0.28,0.3
f_0,0.55,0.83,0.6,0.68,0.64,0.6,0.37,0.24,0.26,0.28,0.22,0.3,0.24,0.34,0.17,0.27
b_0,0.59,0.62,0.56,0.87,0.82,0.6,0.33,0.33,0.18,0.32,0.27,0.21,0.24,0.29,0.24,0.34
h_0,0.59,0.67,0.58,0.63,0.62,0.53,0.39,0.41,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.28
e_0,0.69,0.87,0.57,0.68,0.51,0.63,0.32,0.32,0.24,0.27,0.17,0.26,0.26,0.19,0.19,0.27
g_0,0.54,0.69,0.66,0.66,0.63,0.6,0.31,0.37,0.3,0.27,0.3,0.28,0.18,0.29,0.25,0.27
a_0,0.59,0.62,0.65,0.65,0.73,0.82,0.37,0.32,0.22,0.31,0.31,0.16,0.23,0.33,0.24,0.18
