,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.68,0.71,0.33,0.41,0.36,0.35,0.74,0.66,0.71,0.86,0.88,0.22,0.89,0.81,0.56,0.71
e_1,0.44,3.93,0.38,0.42,0.35,0.32,0.67,0.86,0.88,1.47,0.87,0.82,0.81,0.93,0.21,0.64
d_1,0.42,0.37,4.01,0.46,0.32,0.42,0.68,0.76,1.38,0.22,0.79,0.73,0.88,0.76,0.88,0.96
c_1,0.4,0.34,0.31,4.43,0.84,0.38,0.77,0.64,0.15,0.63,0.71,0.85,0.94,0.83,0.9,1.02
b_1,0.36,0.35,0.44,0.33,4.9,0.7,0.95,0.73,0.79,0.72,0.26,1.06,0.79,0.66,0.93,0.71
a_1,0.34,0.36,0.49,0.46,0.41,7.36,0.8,0.61,0.75,0.83,0.65,0.66,0.85,0.21,0.82,1.19
h_1,0.93,0.64,0.67,0.69,0.59,0.68,4.84,1.45,1.22,1.22,1.29,1.45,0.8,1.59,1.57,2.15
g_1,0.47,0.59,1.1,0.63,0.58,0.8,1.26,6.27,1.61,1.29,1.34,2.12,1.48,1.4,1.89,0.61
c_0,0.92,0.78,0.71,0.19,0.58,0.73,1.28,1.13,3.96,1.61,3.16,1.46,1.53,1.42,1.49,1.62
d_0,0.83,0.59,0.28,1.28,0.55,0.74,1.25,1.47,1.16,3.93,1.48,1.61,1.6,1.59,1.45,1.45
b_0,0.84,0.64,0.85,0.71,0.28,0.39,1.54,1.51,1.49,1.9,4.62,1.64,2.12,2.43,1.66,1.92
f_0,0.41,0.61,1.0,0.66,0.78,0.64,1.34,1.17,1.33,1.52,2.1,4.84,1.56,1.48,2.8,1.64
h_0,0.96,0.64,0.89,0.67,0.63,0.52,0.38,1.54,1.3,1.33,1.19,1.64,0.64,1.21,1.53,1.82
a_0,0.71,0.83,0.8,0.83,0.51,,1.52,1.69,1.58,1.3,1.31,1.71,2.06,5.54,1.44,1.34
e_0,1.05,0.2,0.88,0.81,0.79,0.47,1.23,1.28,1.76,1.15,1.31,1.51,1.9,1.19,6.77,1.85
g_0,0.63,0.54,1.13,0.62,0.76,0.67,1.25,0.44,1.54,1.31,1.35,2.42,1.35,1.67,1.53,0.55
