,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,12341.0,5530.54,5788.77,8475.75,10936.2,41468.62,5413942.21,20646049.5,9078154.25,14206733.19,31712048.14,46462101.26,153024335.8,142220012.07,191208074.85,287927523.6
f_1,8344.5,15522.73,5366.31,5561.79,8675.1,37289.82,5186825.95,12358190.31,9564256.14,18102200.48,20868800.65,40528445.47,149458221.17,112868665.13,220115915.49,263983216.59
d_1,4151.61,6157.85,19453.82,4579.0,11341.21,41712.33,5529315.69,7362151.88,10579755.14,32217111.69,30121290.87,48235280.85,147437547.72,211583799.92,203704787.27,334961141.73
c_1,3740.5,4904.78,5843.79,19346.01,22755.17,44620.61,5680649.36,11514377.58,8759255.88,8452081.03,31735519.89,25912056.49,147644540.39,174050930.35,144391257.26,297576675.78
b_1,3920.58,4957.78,6529.27,6471.69,38298.14,98328.64,5278163.5,11496295.6,10691544.04,15058679.23,28205858.62,25098441.0,150514243.99,192440045.9,150228309.71,312613101.13
a_1,4288.21,6565.27,6569.21,7152.3,10530.99,213723.92,4839385.7,12659973.41,10088953.02,12829782.44,32392007.97,37099115.47,179303401.7,205582211.48,144301797.38,276553845.95
h_1,4576.6,8282.84,7942.09,7118.29,11701.01,40354.49,11396036.61,10756823.5,17158615.11,16936543.03,30448622.77,42240411.17,119420527.15,210146114.04,241000409.78,454625320.66
d_0,4364.05,5313.8,5038.62,12674.5,14439.61,48407.15,6029999.29,20440379.44,11672299.99,11932846.79,36085236.44,46322452.38,163061368.17,214239678.43,270021061.96,323222523.59
g_1,4360.37,5545.79,11037.32,7009.99,11843.39,52494.84,5311434.31,10077556.7,26464527.42,17441824.5,50076328.53,41748030.54,147171145.81,205360104.51,210654608.31,241313710.83
c_0,5393.72,6515.46,8340.51,5388.18,8102.97,48976.03,6102803.23,14769254.6,11578442.01,31441464.3,36361796.75,93228863.56,171660783.56,197970681.98,329697707.54,392789889.64
f_0,4024.15,4581.77,7904.02,8392.55,13158.22,57548.24,6627147.36,13406463.99,13384011.06,18887495.05,59827540.87,51073192.0,169132642.42,426000252.66,240653834.41,366848547.05
b_0,4882.85,7077.54,6810.3,8358.34,8350.11,28711.68,6885947.01,14567430.22,13754825.52,16474779.61,33723718.15,85750444.92,177059316.85,229142464.92,525937927.14,364292656.42
h_0,4412.79,8190.64,7690.57,6862.98,12249.59,56181.35,4877867.81,14158753.01,16218040.09,17055464.75,32295603.18,43352348.99,127405174.48,203568852.93,196570810.28,397720745.62
e_0,3657.65,6728.3,7929.72,7544.76,11099.0,46475.13,7305681.96,13556252.88,15624357.37,19437610.99,30762751.31,51636938.03,212533099.99,479046928.96,325572101.92,406556219.01
a_0,5220.3,6095.01,8221.88,7605.44,12457.04,31883.29,7061792.54,13455049.26,14933354.62,21027649.0,33567712.94,52052248.53,150395384.36,184638179.21,455327560.55,328538285.06
g_0,3788.64,5321.12,11440.51,5993.43,13748.38,48808.13,5856896.77,10801337.32,11148913.96,20624790.21,51245915.79,42126294.99,155996418.35,233507237.45,258240497.79,285384453.35
