,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,10.64,0.72,0.98,0.52,0.65,0.61,0.83,2.38,0.78,0.85,1.07,1.02,1.16,1.01,0.78,0.99
f_1,1.84,11.29,0.7,0.53,0.55,0.59,0.83,1.07,0.84,0.76,1.03,0.59,0.98,0.92,0.62,0.9
c_1,0.56,0.59,11.58,0.69,1.78,0.85,0.87,0.84,0.52,0.87,0.6,0.89,0.74,0.84,1.09,0.84
d_1,0.59,0.92,0.5,14.13,0.66,0.63,1.09,0.55,2.64,1.11,1.16,1.05,1.14,1.01,0.9,1.02
b_1,0.64,0.63,0.69,0.81,12.48,1.56,1.06,0.87,0.81,0.79,0.65,0.98,0.7,0.95,0.88,0.98
a_1,0.59,0.78,0.73,0.84,0.68,19.84,1.02,0.72,1.12,1.05,0.99,1.0,0.61,1.33,1.14,1.13
h_1,0.76,1.11,0.66,1.24,0.63,0.71,3.0,0.71,0.98,1.47,1.05,0.99,1.02,0.8,1.13,1.51
d_0,0.7,0.76,2.38,0.55,0.88,0.66,1.0,1.89,0.68,1.06,1.06,1.03,1.08,1.15,1.12,0.89
c_0,0.72,0.73,0.61,1.17,0.61,0.78,1.08,0.92,2.3,1.33,2.94,1.32,1.58,1.2,1.32,1.38
g_1,0.68,0.83,0.68,1.78,0.65,0.68,1.05,0.72,1.21,3.92,1.12,1.99,0.99,1.18,1.29,0.81
b_0,0.79,0.87,0.8,1.06,0.55,0.74,1.18,0.94,1.08,1.37,2.13,1.13,2.78,1.12,1.33,1.18
f_0,0.6,0.62,0.83,0.92,0.76,0.75,1.32,1.13,1.41,1.12,1.39,2.96,1.4,1.14,3.68,0.96
a_0,0.78,1.03,1.07,0.85,0.67,0.42,1.14,1.12,1.06,1.27,1.16,1.21,2.73,1.13,1.18,1.18
h_0,0.69,1.42,0.85,0.89,0.6,0.81,0.7,0.91,0.82,1.57,1.15,1.13,0.9,0.78,1.02,1.5
e_0,0.41,0.77,1.35,1.02,1.02,0.89,1.03,1.0,0.73,1.13,1.11,1.07,0.89,1.39,3.37,1.16
g_0,0.64,0.61,0.69,1.74,0.71,0.81,1.04,0.88,1.2,0.86,1.28,1.75,1.03,1.03,1.2,0.87
