,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.38,0.24,0.22,0.29,0.26,0.17,0.6,0.52,0.54,0.98,0.61,0.66,0.95,,0.81,0.6
f_1,0.44,2.39,0.29,0.27,0.26,0.23,0.53,0.56,0.68,0.63,,0.63,0.84,0.47,0.62,0.43
d_1,0.25,0.28,2.49,0.27,0.29,0.27,0.54,0.44,0.99,,0.58,0.73,0.85,0.59,0.76,0.38
c_1,0.23,0.33,0.26,2.57,0.45,0.23,0.61,0.42,,0.6,0.59,0.57,0.95,0.56,0.75,0.57
b_1,0.28,0.3,0.23,0.19,2.81,0.42,0.6,0.44,0.64,0.63,0.65,,0.8,0.72,0.74,
a_1,0.37,0.31,0.3,0.28,0.26,3.17,0.6,0.5,0.65,0.54,0.58,0.48,0.67,,0.74,
h_1,0.49,0.7,0.54,0.47,0.6,0.47,3.78,1.56,1.3,1.02,1.14,1.14,,1.06,1.34,1.4
g_1,0.64,0.37,0.82,0.52,0.47,0.6,0.85,4.24,1.2,1.16,1.48,1.11,1.24,1.19,,1.26
c_0,0.65,0.57,0.57,,0.54,0.67,1.03,1.29,3.48,1.39,1.59,2.3,1.62,1.37,1.72,1.45
d_0,0.51,0.67,,0.96,0.65,0.71,1.35,1.12,1.16,3.4,1.49,1.28,1.72,1.27,1.79,1.54
f_0,0.68,,0.54,0.69,0.63,0.61,1.26,0.95,1.27,1.57,3.79,1.39,1.36,1.97,1.82,1.51
b_0,0.61,0.53,0.52,0.68,,0.63,1.3,1.46,1.09,1.52,1.22,3.84,1.49,1.7,1.88,2.12
h_0,0.71,0.89,0.7,0.75,0.72,0.94,,1.74,1.72,1.62,1.62,1.68,,1.7,2.53,1.58
e_0,,0.71,0.68,0.72,0.48,,1.37,1.34,1.3,1.48,1.6,1.02,1.86,4.55,1.45,
g_0,0.6,0.68,1.09,0.72,0.84,0.65,1.51,,1.89,1.67,1.94,1.14,1.98,2.23,,1.37
a_0,0.57,0.73,0.9,0.64,,,0.98,1.18,1.3,1.32,1.35,1.32,1.58,,2.05,4.77
