,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.38,0.36,0.53,0.39,0.26,0.26,0.26,0.45,0.27,0.25,0.27,0.23,0.18,0.13,0.19
f_1,0.68,0.94,0.43,0.38,0.32,0.25,0.24,0.24,0.25,0.24,0.24,0.15,0.21,0.17,0.14,0.19
d_1,0.49,0.45,0.94,0.33,0.39,0.28,0.26,0.22,0.18,0.43,0.32,0.23,0.25,0.2,0.2,0.16
c_1,0.37,0.44,0.42,0.94,0.62,0.28,0.32,0.24,0.25,0.14,0.22,0.25,0.23,0.21,0.2,0.2
b_1,0.42,0.54,0.43,0.37,0.94,0.47,0.34,0.26,0.26,0.26,0.14,0.28,0.22,0.13,0.23,0.18
a_1,0.56,0.56,0.47,0.46,0.32,0.93,0.36,0.31,0.33,0.31,0.29,0.32,0.31,0.2,0.2,0.27
h_1,0.67,0.92,0.73,0.54,0.57,0.39,0.74,0.52,0.42,0.37,0.33,0.34,0.24,0.26,0.27,0.41
g_1,0.6,0.66,1.03,0.62,0.62,0.39,0.39,0.75,0.45,0.44,0.38,0.58,0.31,0.28,0.26,0.23
d_0,0.63,0.74,0.43,1.06,0.68,0.52,0.41,0.39,0.66,0.36,0.41,0.4,0.4,0.31,0.31,0.26
c_0,0.75,0.86,0.66,0.57,0.49,0.49,0.5,0.45,0.49,0.66,0.67,0.42,0.43,0.38,0.34,0.3
b_0,0.85,0.78,0.68,0.73,0.45,0.43,0.5,0.43,0.51,0.46,0.66,0.47,0.44,0.55,0.34,0.36
f_0,0.72,0.57,0.8,0.7,0.66,0.52,0.56,0.4,0.52,0.44,0.4,0.64,0.42,0.33,0.59,0.31
h_0,0.85,1.09,0.82,0.76,0.69,0.45,0.41,0.6,0.52,0.5,0.44,0.47,0.36,0.36,0.3,0.47
a_0,0.98,0.97,0.86,0.68,0.74,0.31,0.58,0.51,0.45,0.52,0.43,0.49,0.44,0.63,0.36,0.37
e_0,0.6,0.94,0.91,0.71,0.66,0.56,0.58,0.57,0.55,0.48,0.53,0.44,0.52,0.34,0.63,0.41
g_0,0.86,0.86,1.24,0.81,0.76,0.47,0.5,0.45,0.55,0.57,0.43,0.69,0.39,0.39,0.47,0.31
