,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.83,1.62,1.76,1.73,1.39,0.52,0.48,0.76,0.54,0.46,0.54,0.31,0.39,0.44,0.43
e_1,1.17,1.05,1.81,2.23,1.77,1.59,0.67,0.55,0.64,0.6,0.53,0.61,0.41,0.49,0.61,0.43
d_1,2.15,1.92,1.05,1.66,1.56,1.48,0.67,0.6,0.43,0.65,0.56,0.48,0.39,0.46,0.48,0.28
c_1,2.07,1.54,2.42,1.05,2.4,1.47,0.72,0.6,0.72,0.36,0.49,0.52,0.42,0.47,0.46,0.41
b_1,2.13,2.07,2.13,1.13,1.06,2.38,0.89,0.73,0.7,0.63,0.75,0.56,0.52,0.47,0.48,0.49
a_1,2.86,2.59,2.43,2.91,1.41,1.06,1.03,0.85,1.0,0.98,1.06,0.78,0.76,1.11,0.71,0.6
h_1,5.0,4.49,4.83,5.04,4.11,3.22,1.28,1.4,1.88,1.34,1.37,1.28,1.25,1.23,1.17,1.09
c_0,6.42,6.18,3.71,8.37,5.61,4.55,2.22,1.37,1.9,2.17,1.9,1.53,1.36,1.68,1.37,1.18
g_1,5.64,5.84,6.04,5.64,5.46,4.84,1.73,1.58,1.3,1.69,1.52,1.69,1.1,1.44,1.23,1.22
d_0,5.19,3.96,6.97,7.64,5.94,4.32,2.62,1.72,2.51,1.45,1.72,1.63,1.5,1.68,1.52,1.37
b_0,7.19,6.35,5.08,7.86,8.03,4.65,2.37,1.25,2.43,1.9,1.41,1.67,1.57,1.86,1.55,1.21
f_0,9.3,6.36,6.3,6.75,6.79,5.65,2.72,2.08,1.75,2.32,2.0,1.44,1.67,1.94,1.95,1.08
h_0,7.87,7.55,7.2,7.52,7.08,5.65,3.18,2.11,2.89,2.07,2.06,2.0,2.04,1.76,1.88,1.72
a_0,9.73,7.49,7.35,8.58,9.26,8.18,2.86,2.17,3.19,2.52,1.56,1.96,2.16,1.51,1.96,1.65
e_0,10.95,10.23,7.82,8.4,9.36,7.85,3.56,2.49,3.43,2.65,2.52,1.44,1.91,1.94,1.47,1.56
g_0,9.01,8.37,9.41,8.37,8.49,7.18,2.82,2.75,3.71,2.82,2.84,2.89,1.79,2.51,2.33,2.28
