,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,1.02,0.87,1.28,1.52,2.58,18.05,40.29,26.45,37.05,35.69,46.73,67.88,121.5,106.18,133.5
d_1,0.99,1.0,1.07,1.01,1.39,2.98,17.16,29.0,33.43,22.16,36.59,39.56,66.65,67.75,107.77,110.11
f_1,1.16,0.94,1.0,1.08,1.14,3.2,14.21,20.55,23.4,27.3,29.35,33.78,58.08,100.84,84.16,109.37
c_1,0.78,0.98,0.93,1.0,2.22,2.59,17.36,15.91,20.67,24.79,27.37,41.94,61.31,79.26,85.2,89.54
b_1,0.65,0.72,0.88,0.44,1.0,3.75,11.25,16.48,17.48,20.18,20.84,24.26,48.06,61.0,52.44,60.04
a_1,0.38,0.33,0.31,0.39,0.27,1.0,6.34,8.53,8.36,11.46,13.72,14.81,21.35,29.91,25.65,35.34
h_1,0.06,0.06,0.07,0.06,0.09,0.15,1.0,1.42,1.47,1.79,1.75,2.15,3.88,5.37,5.19,6.49
d_0,0.03,0.04,0.05,0.06,0.06,0.12,0.73,1.0,0.86,1.15,1.44,1.46,2.63,3.56,3.65,4.46
c_0,0.04,0.03,0.04,0.05,0.06,0.12,0.67,1.15,1.0,1.02,1.81,1.67,2.47,3.56,3.83,4.25
g_1,0.03,0.04,0.03,0.04,0.05,0.09,0.56,0.88,0.99,1.0,1.35,1.96,1.79,3.27,3.42,3.59
b_0,0.03,0.03,0.03,0.04,0.05,0.07,0.57,0.67,0.55,0.77,1.0,1.2,2.06,2.91,2.36,4.33
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.46,0.66,0.63,0.51,0.84,1.0,1.65,2.03,2.63,2.47
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.26,0.39,0.39,0.57,0.49,0.6,1.0,1.59,1.08,1.41
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.28,0.28,0.32,0.33,0.5,0.63,1.0,0.88,1.08
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.28,0.29,0.27,0.43,0.38,0.89,1.15,1.0,1.07
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.23,0.23,0.28,0.23,0.41,0.71,0.93,0.93,1.0
