,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.9,0.19,0.16,0.12,0.16,0.09,0.2,0.34,0.16,0.1,0.19,0.15,0.19,0.13,0.17,0.14
f_1,0.18,0.89,0.35,0.14,0.11,0.1,0.18,0.15,0.11,0.19,0.16,0.05,0.16,0.1,0.12,0.08
e_1,0.2,0.2,0.88,0.18,0.15,0.11,0.15,0.15,0.11,0.3,0.15,0.14,0.17,0.1,0.13,0.04
c_1,0.22,0.17,0.17,0.88,0.28,0.09,0.11,0.06,0.12,0.16,0.09,0.12,0.16,0.09,0.13,0.11
b_1,0.22,0.18,0.17,0.13,0.88,0.21,0.16,0.17,0.12,0.14,0.08,0.16,0.17,0.08,0.14,0.1
a_1,0.21,0.25,0.17,0.17,0.11,0.87,0.16,0.17,0.14,0.15,0.19,0.15,0.19,0.05,0.16,0.07
h_1,0.24,0.31,0.22,0.24,0.13,0.1,0.56,0.2,0.27,0.17,0.16,0.18,0.13,0.15,0.22,0.12
c_0,0.27,0.23,0.21,0.16,0.15,0.12,0.23,0.44,0.2,0.2,0.37,0.17,0.21,0.18,0.21,0.14
g_1,0.38,0.22,0.18,0.2,0.14,0.11,0.19,0.2,0.55,0.14,0.16,0.26,0.2,0.11,0.14,0.13
d_0,0.13,0.25,0.23,0.41,0.19,0.11,0.19,0.16,0.16,0.42,0.19,0.16,0.21,0.11,0.14,0.09
b_0,0.24,0.29,0.21,0.23,0.1,0.13,0.22,0.21,0.18,0.19,0.42,0.2,0.22,0.28,0.18,0.13
f_0,0.3,0.15,0.17,0.24,0.19,0.11,0.2,0.24,0.22,0.21,0.18,0.42,0.22,0.19,0.19,0.29
h_0,0.29,0.35,0.23,0.21,0.17,0.1,0.14,0.2,0.21,0.21,0.17,0.17,0.13,0.14,0.23,0.13
a_0,0.31,0.25,0.23,0.21,0.15,0.06,0.29,0.22,0.17,0.19,0.19,0.17,0.26,0.39,0.22,0.14
g_0,0.43,0.2,0.19,0.21,0.15,0.11,0.2,0.23,0.15,0.18,0.18,0.29,0.2,0.14,0.12,0.15
e_0,0.25,0.32,0.11,0.2,0.19,0.14,0.28,0.23,0.24,0.24,0.18,0.17,0.22,0.14,0.16,0.36
