,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.95,1.02,0.9,0.68,0.51,0.49,0.4,0.56,0.41,0.45,0.36,0.36,0.34,0.32
f_1,1.22,1.0,0.94,0.93,0.8,0.69,0.42,0.47,0.38,0.42,0.39,0.32,0.33,0.29,0.22,0.3
d_1,1.03,1.08,1.0,0.8,0.89,0.68,0.49,0.43,0.53,0.42,0.42,0.38,0.33,0.33,0.34,0.26
c_1,0.99,1.09,1.24,1.0,1.23,0.77,0.57,0.45,0.41,0.33,0.4,0.41,0.36,0.34,0.35,0.35
b_1,1.08,1.21,1.11,0.82,1.0,1.2,0.72,0.58,0.5,0.47,0.44,0.45,0.36,0.4,0.38,0.35
a_1,1.44,1.44,1.43,1.28,0.87,1.0,0.78,0.72,0.65,0.63,0.62,0.54,0.51,0.56,0.43,0.44
h_1,1.95,2.35,2.04,1.8,1.34,1.24,1.0,1.04,0.84,0.8,0.74,0.72,0.64,0.66,0.59,0.65
g_1,2.07,2.17,2.39,2.13,1.76,1.32,0.95,1.0,0.93,0.88,0.83,0.9,0.7,0.67,0.73,0.66
c_0,2.52,2.62,1.96,2.43,2.0,1.41,1.22,1.1,1.0,1.16,1.2,0.89,0.86,0.8,0.84,0.7
d_0,1.88,2.36,2.3,3.14,2.18,1.55,1.26,1.09,0.87,1.0,0.93,0.89,0.86,0.82,0.85,0.78
b_0,2.41,2.69,2.44,2.5,2.2,1.47,1.36,1.18,0.82,1.04,1.0,0.86,1.15,0.91,0.8,0.73
f_0,2.33,2.98,2.74,2.44,2.16,1.86,1.38,1.11,1.07,1.11,1.19,1.0,0.96,0.97,1.36,0.73
a_0,2.82,3.09,2.74,2.83,2.81,1.92,1.62,1.39,1.21,1.16,0.9,1.1,1.0,0.99,0.9,0.73
h_0,2.8,3.47,3.12,2.84,2.63,1.78,1.55,1.51,1.2,1.2,1.06,1.02,0.98,1.0,0.88,0.97
e_0,3.21,4.21,2.92,2.79,2.85,2.32,1.72,1.37,1.28,1.2,1.31,0.78,1.15,1.09,1.0,0.92
g_0,3.12,3.47,3.68,2.87,2.88,2.19,1.56,1.59,1.44,1.2,1.37,1.41,1.32,1.04,1.09,1.0
