,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,17.51,0.54,0.46,0.64,0.6,0.47,0.81,0.76,1.97,1.01,1.05,1.05,0.97,0.45,0.99,0.94
f_1,1.26,18.33,0.52,0.43,0.49,0.37,0.95,0.69,0.69,0.86,0.33,0.97,1.02,0.75,0.71,0.91
d_1,0.48,0.69,20.13,0.38,0.47,0.49,0.95,0.9,0.39,2.02,0.96,1.3,0.87,1.04,1.3,1.08
c_1,0.36,0.52,0.46,19.84,1.05,0.61,0.79,0.79,0.97,0.2,1.0,0.63,0.95,0.99,0.86,0.87
b_1,0.48,0.55,0.6,0.53,20.74,1.14,0.69,0.83,0.89,0.74,0.65,0.28,1.1,0.89,0.73,0.63
a_1,0.48,0.53,0.57,0.53,0.51,31.85,1.04,0.99,0.84,0.96,1.18,0.96,0.81,0.85,1.07,0.55
h_1,0.68,0.93,0.77,0.71,0.56,0.65,5.57,1.38,0.91,1.21,0.98,1.14,0.58,0.94,1.82,1.05
g_1,0.5,0.41,1.31,0.87,0.63,0.52,1.13,6.83,0.9,1.05,2.25,1.35,1.32,1.32,0.65,1.06
d_0,0.62,0.66,0.21,2.19,0.64,0.71,1.1,1.28,3.22,0.85,1.31,0.84,1.24,1.01,1.05,1.09
c_0,0.75,0.69,0.91,0.41,0.5,0.53,1.35,1.35,1.13,3.29,1.64,3.16,1.44,1.32,1.26,1.64
f_0,0.5,0.33,0.86,0.92,0.66,0.75,1.08,1.11,1.24,1.17,4.14,1.21,1.02,3.77,1.28,1.27
b_0,0.73,0.65,0.77,0.78,0.31,0.74,1.14,1.22,1.09,1.25,1.43,4.0,1.55,1.32,1.6,3.15
h_0,0.71,1.11,0.69,0.75,0.59,0.56,0.54,1.83,1.08,0.96,1.22,1.02,0.75,1.12,1.82,1.21
e_0,0.3,0.71,0.75,0.97,0.59,0.85,1.43,1.34,1.4,1.31,1.04,1.01,1.46,6.27,1.04,1.26
g_0,0.51,0.61,1.35,0.74,0.57,0.74,1.18,0.88,0.92,1.09,2.39,1.25,1.02,1.29,0.83,1.0
a_0,0.61,0.83,0.91,0.85,0.38,0.41,1.37,1.61,0.98,1.2,1.16,1.52,1.55,1.58,1.2,4.9
