,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.33,0.81,0.92,0.75,0.64,0.39,0.39,0.4,0.37,0.36,0.36,0.27,0.29,0.23,0.33
e_1,0.76,1.0,1.18,0.86,0.85,0.79,0.48,0.61,0.48,0.4,0.47,0.39,0.43,0.34,0.38,0.29
c_1,1.23,0.85,1.0,1.12,1.33,0.68,0.46,0.31,0.44,0.31,0.38,0.33,0.38,0.27,0.3,0.35
d_1,1.09,1.16,0.89,1.0,0.89,0.71,0.55,0.49,0.39,0.59,0.46,0.48,0.39,0.38,0.32,0.27
b_1,1.33,1.18,0.76,1.11,1.0,1.34,0.54,0.53,0.53,0.44,0.44,0.43,0.43,0.34,0.39,0.35
a_1,1.55,1.27,1.48,1.41,0.74,1.0,0.64,0.68,0.54,0.58,0.52,0.53,0.5,0.44,0.46,0.43
h_1,2.57,2.1,2.23,1.84,1.71,1.46,1.0,0.81,1.07,0.86,0.7,0.82,0.61,0.53,0.59,0.7
d_0,2.49,1.61,3.14,2.33,1.88,1.54,1.24,1.0,1.01,0.9,1.0,0.93,0.83,0.63,0.64,1.02
g_1,2.55,2.19,2.21,2.53,1.92,1.8,0.92,0.95,1.0,0.79,1.19,0.85,0.65,0.76,0.76,0.66
c_0,2.61,2.61,2.92,1.64,2.13,1.66,1.2,1.1,1.26,1.0,0.95,1.38,0.88,0.76,0.88,0.78
f_0,3.1,2.05,2.68,2.19,2.29,1.85,1.4,1.04,0.82,1.05,1.0,0.98,0.9,1.19,0.78,0.67
b_0,2.83,2.59,3.22,2.0,2.24,1.92,1.28,1.08,1.19,0.74,0.99,1.0,0.85,0.75,1.11,0.86
h_0,3.54,2.44,2.66,2.62,2.28,1.98,1.67,1.21,1.48,1.11,0.99,1.12,1.0,0.79,0.88,0.97
e_0,3.51,2.86,3.9,2.52,3.05,2.23,1.88,1.62,1.37,1.23,0.87,1.3,1.27,1.0,1.17,1.01
a_0,4.28,2.68,3.54,2.93,2.75,1.99,1.67,1.49,1.25,1.14,1.29,0.93,1.14,0.89,1.0,1.18
g_0,2.94,3.37,2.93,3.74,2.79,2.3,1.44,1.03,1.53,1.39,1.42,1.2,0.98,0.99,0.89,1.0
