,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.39,0.96,1.33,1.67,2.96,19.83,21.79,42.88,,39.33,46.22,74.17,92.99,73.24,72.41
e_1,0.72,1.0,0.8,1.3,1.48,3.66,22.8,33.31,27.52,40.18,42.39,48.14,71.64,103.71,97.71,
f_1,1.04,1.25,1.0,1.26,1.19,2.96,18.22,17.72,27.18,26.96,33.33,,55.95,70.98,90.24,113.0
c_1,0.75,0.77,0.79,1.0,1.69,2.53,18.14,25.37,,18.09,18.43,38.06,64.97,85.45,83.61,120.45
b_1,0.6,0.68,0.84,0.59,1.0,2.78,10.22,15.13,18.53,20.26,,33.16,39.69,66.28,,58.76
a_1,0.34,0.27,0.34,0.39,0.36,1.0,5.03,6.09,10.22,8.14,12.74,15.71,22.34,26.07,,
h_1,0.05,0.04,0.05,0.06,0.1,0.2,1.0,2.19,1.64,1.31,2.23,2.68,,6.07,4.7,4.78
g_1,0.05,0.03,0.06,0.04,0.07,0.16,0.46,1.0,0.92,1.11,1.44,2.43,1.4,,,
c_0,0.02,0.04,0.04,,0.05,0.1,0.61,1.09,1.0,1.13,1.91,1.46,2.4,3.35,4.19,4.49
d_0,,0.02,0.04,0.06,0.05,0.12,0.76,0.9,0.89,1.0,1.01,1.79,2.3,3.63,4.44,3.25
b_0,0.03,0.02,0.03,0.05,,0.08,0.45,0.69,0.52,0.99,1.0,1.46,1.7,3.17,4.55,
f_0,0.02,0.02,,0.03,0.03,0.06,0.37,0.41,0.69,0.56,0.68,1.0,1.66,1.26,2.01,2.48
h_0,0.01,0.01,0.02,0.02,0.03,0.04,,0.72,0.42,0.44,0.59,0.6,,1.88,,1.82
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,,0.3,0.28,0.32,0.8,0.53,,,1.33
a_0,0.01,0.01,0.01,0.01,,,0.21,,0.24,0.23,0.22,0.5,,,1.0,
e_0,0.01,,0.01,0.01,0.02,,0.21,,0.22,0.31,,0.4,0.55,0.75,,1.0
