,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,17.77,0.49,0.53,0.39,0.55,0.51,0.87,0.9,2.17,0.41,1.33,1.13,1.1,1.17,0.98,0.9
e_1,0.4,16.94,0.53,0.69,0.53,0.61,0.91,0.87,1.03,2.03,1.13,1.08,0.9,0.95,0.91,0.4
f_1,0.54,1.18,17.04,0.53,0.37,0.48,0.95,0.66,0.67,0.84,0.88,0.4,0.83,0.71,0.78,0.75
c_1,0.44,0.42,0.55,20.45,1.18,0.47,0.95,0.86,0.29,0.85,0.45,0.71,1.01,0.99,0.95,1.16
b_1,0.56,0.5,0.58,0.52,21.6,1.23,0.67,0.79,0.63,0.76,0.38,0.88,0.93,0.93,0.57,0.93
a_1,0.62,0.55,0.52,0.55,0.51,32.67,0.73,0.77,0.93,0.8,0.96,1.14,1.02,0.76,0.46,0.88
h_1,0.85,0.39,0.93,0.61,0.77,0.55,5.86,1.8,1.3,1.07,0.98,1.11,0.54,1.81,1.25,1.46
g_1,1.63,0.46,0.65,0.56,0.64,0.68,0.96,7.05,0.93,0.58,1.08,1.7,0.97,0.6,1.38,1.28
c_0,0.88,0.74,0.83,0.32,0.47,0.64,1.28,1.31,3.39,1.16,3.19,1.16,1.49,1.36,1.63,1.38
d_0,0.33,0.57,0.84,1.89,0.6,0.54,1.38,1.12,0.74,3.28,1.01,1.31,1.29,1.33,1.25,1.37
b_0,0.83,0.61,0.85,0.85,0.26,0.44,1.13,1.21,1.16,1.54,4.0,1.09,1.42,1.17,3.74,1.2
f_0,1.0,0.62,0.31,0.86,0.59,0.55,1.3,1.17,1.16,1.26,1.29,4.01,1.35,1.29,1.25,2.66
h_0,0.73,0.66,1.26,0.77,0.61,0.49,0.62,1.73,1.09,1.1,1.3,1.02,0.65,1.83,0.85,1.43
g_0,1.3,0.63,0.67,0.63,0.53,0.76,1.08,0.69,1.21,1.05,1.17,2.4,1.1,0.81,1.35,1.45
a_0,0.78,0.55,0.77,1.01,0.82,0.18,1.02,1.29,0.97,1.05,1.03,1.34,1.78,1.2,5.57,1.39
e_0,1.01,0.28,0.82,0.67,0.78,0.53,1.21,1.26,1.29,1.04,1.41,1.17,1.55,1.04,1.42,5.8
