,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.34,1.85,1.2,1.23,1.07,1.04,2.19,2.34,2.47,2.37,2.27,1.66,2.85,2.31,1.76,3.33
e_1,1.14,2.38,1.07,1.55,1.3,1.17,2.44,1.86,2.58,4.56,2.65,2.9,3.57,3.16,2.39,3.86
d_1,1.28,1.24,2.56,1.05,1.17,1.3,2.58,2.32,4.13,1.78,2.95,2.87,3.16,2.65,2.44,3.08
c_1,1.22,1.02,1.32,2.63,1.89,1.26,2.09,2.36,1.68,2.14,2.19,2.88,3.42,2.54,3.04,2.94
b_1,1.3,1.06,1.18,1.17,2.76,1.99,2.24,2.38,2.75,2.48,2.17,2.59,3.43,2.2,2.71,2.99
a_1,1.41,1.11,1.28,1.22,1.06,3.34,2.88,2.76,2.84,3.01,3.26,2.56,3.4,2.56,2.94,3.74
h_1,1.73,1.32,1.29,1.42,1.08,1.18,4.18,3.72,2.89,2.66,2.98,2.59,3.37,3.25,3.38,4.33
g_1,1.18,1.27,1.97,1.2,1.35,1.36,1.99,4.56,3.5,1.99,3.31,4.44,3.49,3.1,3.38,3.64
c_0,1.62,1.39,1.3,1.2,1.09,1.19,2.86,2.58,4.03,3.39,5.18,3.71,4.15,3.67,3.59,4.17
d_0,1.48,1.12,1.08,2.35,1.36,1.07,2.96,2.98,2.0,3.97,3.22,2.45,4.19,2.99,2.94,3.43
b_0,1.61,1.38,1.5,1.52,0.89,1.15,2.85,2.6,2.41,2.8,4.31,2.89,3.73,5.0,3.44,3.86
f_0,1.02,1.16,1.45,1.28,1.44,1.56,2.72,2.43,2.71,3.5,3.7,4.78,4.37,3.86,6.05,3.46
h_0,1.82,1.32,1.5,1.21,1.42,1.33,1.65,2.91,2.55,2.51,2.81,2.56,2.91,3.0,3.05,3.95
a_0,1.63,1.21,1.53,1.54,1.55,0.87,2.72,2.41,2.84,3.02,2.67,2.74,4.21,4.95,2.6,3.82
e_0,1.61,0.99,1.67,1.3,1.37,1.1,2.52,3.24,2.75,3.26,3.2,2.92,3.87,4.56,5.52,3.58
g_0,1.26,1.21,1.96,1.48,1.43,1.18,2.41,2.09,2.81,2.81,3.0,4.06,3.55,3.01,3.61,2.94
