,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.33,1.76,0.94,1.09,0.84,0.68,1.86,1.59,1.75,2.37,2.03,1.26,2.45,1.8,1.33,2.05
e_1,1.11,2.36,0.9,1.34,0.94,0.82,1.79,1.71,1.83,3.71,2.23,1.93,2.86,1.89,1.35,2.29
d_1,1.13,0.96,2.47,0.83,0.92,0.78,2.15,2.02,3.63,1.54,2.42,2.11,2.76,2.18,1.86,2.79
c_1,1.12,0.94,1.03,2.52,1.78,0.89,1.7,1.67,1.42,2.06,1.3,1.84,2.42,1.86,1.6,1.97
b_1,1.09,1.0,0.96,1.01,2.64,1.77,1.93,1.66,1.93,2.16,1.51,1.85,2.54,1.55,1.77,1.88
a_1,1.31,1.05,1.08,1.14,0.94,3.12,2.11,1.72,2.17,2.42,2.21,2.1,2.89,1.35,1.97,1.83
h_1,1.61,1.18,1.18,0.96,1.0,0.88,3.54,2.09,2.17,2.02,2.06,1.96,2.36,1.76,1.8,3.17
g_1,1.19,0.98,1.58,1.02,1.08,0.81,2.06,3.79,2.43,1.7,2.6,3.12,3.18,2.15,2.05,2.15
c_0,1.27,1.22,1.18,0.9,0.84,0.79,2.2,1.88,3.52,2.54,4.01,2.19,3.1,2.51,2.17,2.94
d_0,1.22,1.15,0.79,1.83,1.08,0.83,1.88,1.84,1.35,3.27,2.06,1.92,3.14,2.04,1.94,2.34
b_0,1.3,1.06,1.15,1.13,0.95,0.76,2.16,1.79,2.5,2.17,3.64,2.01,3.34,3.94,2.25,2.71
f_0,1.2,0.99,1.2,1.12,0.91,1.04,2.34,1.96,2.66,2.28,2.69,3.9,3.23,2.26,4.1,3.01
h_0,1.51,1.21,1.19,1.18,0.95,0.7,1.64,2.26,2.23,2.36,2.15,2.15,2.18,2.14,2.2,3.25
a_0,1.32,1.14,1.0,1.17,1.11,0.75,2.22,1.75,2.16,2.44,2.37,2.21,3.1,3.62,2.16,3.0
e_0,1.51,1.01,1.19,1.11,0.84,0.93,2.39,2.08,2.54,2.37,2.43,2.21,3.24,2.49,3.77,2.58
g_0,0.93,1.01,1.6,1.13,1.03,0.97,1.91,1.84,2.53,1.85,2.43,3.21,3.06,1.89,2.33,2.29
