,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.24,0.39,0.4,0.36,0.34,0.11,0.12,0.08,0.07,0.08,0.1,0.07,0.05,0.08,0.07
f_1,0.34,0.16,0.33,0.35,0.34,0.32,0.08,0.12,0.08,0.08,0.08,0.09,0.06,0.04,0.07,0.05
d_1,0.39,0.39,0.15,0.37,0.33,0.31,0.09,0.07,0.1,0.07,0.08,0.07,0.07,0.05,0.06,0.03
c_1,0.29,0.36,0.45,0.14,0.36,0.35,0.1,0.1,0.05,0.09,0.07,0.07,0.07,0.05,0.07,0.05
b_1,0.36,0.4,0.37,0.21,0.13,0.37,0.11,0.1,0.07,0.1,0.11,0.08,0.07,0.05,0.07,0.05
a_1,0.38,0.4,0.36,0.36,0.19,0.09,0.13,0.11,0.08,0.09,0.09,0.07,0.09,0.06,0.07,0.06
h_1,0.32,0.35,0.31,0.32,0.32,0.29,0.05,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05
g_1,0.33,0.38,0.3,0.31,0.3,0.28,0.07,0.05,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05
d_0,0.21,0.32,0.45,0.34,0.37,0.34,0.1,0.1,0.05,0.07,0.08,0.07,0.07,0.05,0.07,0.06
c_0,0.34,0.35,0.19,0.5,0.38,0.3,0.1,0.09,0.1,0.05,0.07,0.06,0.07,0.05,0.06,0.04
b_0,0.32,0.33,0.25,0.41,0.47,0.3,0.1,0.09,0.08,0.04,0.04,0.06,0.06,0.05,0.06,0.05
f_0,0.33,0.48,0.29,0.32,0.29,0.28,0.08,0.06,0.08,0.06,0.06,0.04,0.06,0.05,0.05,0.03
a_0,0.29,0.35,0.3,0.32,0.37,0.34,0.09,0.08,0.07,0.05,0.04,0.06,0.04,0.05,0.07,0.05
h_0,0.33,0.34,0.31,0.34,0.29,0.26,0.12,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.04
e_0,0.41,0.41,0.3,0.3,0.28,0.26,0.08,0.08,0.07,0.06,0.06,0.03,0.05,0.04,0.03,0.04
g_0,0.38,0.36,0.29,0.35,0.29,0.27,0.07,0.11,0.07,0.06,0.07,0.06,0.05,0.04,0.06,0.05
