,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.52,0.84,0.84,1.05,0.84,0.68,1.09,1.05,0.96,1.6,1.08,1.13,1.0,1.13,0.82,0.98
f_1,1.31,1.53,0.88,0.88,0.8,0.68,0.89,0.96,0.91,1.02,1.03,0.71,0.88,0.94,0.54,0.93
d_1,0.93,0.99,1.54,0.69,0.89,0.69,1.07,0.96,1.62,0.84,1.1,1.02,0.92,1.09,0.95,1.0
c_1,0.88,0.92,1.05,1.6,1.3,0.75,1.01,0.9,0.64,0.88,0.92,0.96,0.91,0.97,0.87,1.05
b_1,0.92,0.97,0.92,0.77,1.64,1.34,1.22,1.06,1.06,1.04,0.71,1.06,0.71,1.21,0.9,1.0
a_1,1.04,1.06,1.01,1.01,0.73,1.77,1.28,1.22,1.26,1.19,1.15,1.1,0.91,1.45,0.93,1.19
h_1,1.07,1.56,1.24,1.07,0.8,0.81,1.79,1.53,1.32,1.15,1.19,1.21,1.15,1.17,1.07,1.5
g_1,1.11,1.15,1.49,1.19,0.94,0.8,1.22,1.83,1.37,1.31,1.27,1.69,1.13,1.41,1.28,1.16
c_0,1.24,1.36,1.15,1.12,1.02,0.78,1.48,1.37,1.77,1.4,2.14,1.44,1.38,1.57,1.34,1.42
d_0,1.04,1.23,0.94,1.96,1.13,0.79,1.37,1.31,1.01,1.73,1.31,1.32,1.24,1.54,1.22,1.43
b_0,1.15,1.36,1.34,1.24,0.9,0.7,1.66,1.41,1.13,1.26,1.78,1.32,2.21,1.65,1.25,1.44
f_0,1.05,1.43,1.27,1.2,1.06,0.92,1.54,1.21,1.44,1.44,1.66,1.79,1.46,1.69,2.4,1.48
a_0,1.22,1.31,1.31,1.28,1.22,0.85,1.71,1.38,1.53,1.28,1.29,1.52,1.8,1.74,1.33,1.22
h_0,1.11,1.64,1.39,1.28,1.21,0.86,1.33,1.62,1.41,1.35,1.26,1.19,1.34,1.25,1.22,1.61
e_0,1.03,1.82,1.24,1.16,1.27,1.15,1.73,1.27,1.42,1.32,1.53,1.03,1.38,1.8,1.93,1.54
g_0,1.06,1.35,1.67,1.17,1.22,0.93,1.46,1.24,1.5,1.16,1.58,1.94,1.6,1.52,1.34,1.33
