,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.15,47.22,95.94,83.92,97.9,89.95,27.76,33.4,16.51,18.09,21.0,16.91,21.32,12.39,,14.33
f_1,93.32,1.15,98.76,93.51,89.26,104.16,19.91,30.36,17.89,13.09,14.7,,17.61,8.17,20.59,13.76
d_1,111.39,82.07,1.15,72.73,91.97,98.95,26.17,15.53,18.4,,21.78,21.64,20.25,13.24,18.42,8.19
c_1,82.21,132.58,98.76,1.15,97.9,82.46,25.44,17.58,,9.61,23.52,18.03,16.88,16.7,31.82,12.74
b_1,132.81,98.49,108.32,57.42,1.15,98.95,24.11,31.81,26.83,18.64,,18.03,31.15,15.36,14.58,13.76
a_1,164.43,149.87,197.53,172.26,101.17,1.15,39.83,55.67,33.89,25.62,42.0,30.06,,24.0,,24.57
h_1,86.32,80.16,67.16,79.83,108.39,76.12,2.0,19.09,20.12,17.57,15.89,17.45,17.61,,29.17,13.76
g_1,111.39,149.87,152.64,163.65,101.17,116.41,27.76,2.0,23.0,25.62,30.95,31.82,27.0,10.11,20.59,
c_0,104.64,88.38,45.38,,112.41,131.93,29.55,35.16,3.01,26.74,14.7,17.45,21.32,12.8,15.91,12.74
d_0,57.55,111.19,,86.13,101.17,98.95,23.49,35.16,29.27,3.01,34.59,18.03,17.61,10.97,13.46,16.38
b_0,101.56,104.45,101.76,142.3,,123.69,26.94,29.04,10.56,26.74,3.0,19.32,25.31,14.22,16.67,17.2
f_0,143.88,,124.37,102.28,101.17,116.41,26.94,21.55,17.89,24.6,29.4,2.91,28.93,22.59,,8.6
a_0,150.13,127.67,176.74,181.83,178.53,,50.89,55.67,33.89,41.0,12.25,49.18,2.81,22.59,31.82,
h_0,88.54,104.45,124.37,148.77,84.31,109.94,,26.72,18.4,24.6,15.47,30.06,18.41,,,13.76
e_0,,191.5,223.87,148.77,144.52,,48.21,47.71,40.25,43.93,39.2,,36.82,,3.12,14.96
g_0,181.74,215.44,119.93,136.38,121.4,104.16,23.49,,23.0,24.6,24.5,22.54,,9.85,23.33,
