,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,5.61,0.14,0.08,0.07,0.07,0.09,0.3,0.3,0.36,0.42,,0.43,0.58,0.33,0.3,0.46
e_1,0.07,5.69,0.08,0.08,0.08,0.05,0.25,0.29,0.79,0.43,0.36,0.32,0.6,0.34,,0.47
d_1,0.07,0.07,5.83,0.09,0.07,0.05,0.32,0.33,,0.7,0.5,0.35,0.62,0.38,0.44,0.59
c_1,0.08,0.08,0.07,6.71,0.14,0.07,0.29,0.28,0.37,,0.55,0.33,0.54,0.42,0.32,0.5
b_1,0.09,0.09,0.08,0.07,7.77,0.14,0.3,0.27,0.59,0.29,0.32,,0.71,0.28,0.33,
a_1,0.09,0.06,0.05,0.07,0.08,11.18,0.4,0.28,0.21,0.33,0.37,0.36,0.86,,0.5,0.7
h_1,0.46,0.25,0.26,0.3,0.27,0.26,14.46,1.54,1.47,1.31,1.7,1.24,,1.04,1.8,2.34
g_1,0.25,0.29,0.38,0.27,0.31,0.44,1.1,16.35,0.93,1.16,1.75,1.46,1.87,2.01,1.61,
d_0,0.3,0.36,,0.76,0.44,0.52,1.43,1.52,11.96,1.86,2.43,1.8,2.59,2.11,1.4,2.91
c_0,0.43,0.48,0.34,,0.33,0.33,1.45,0.9,1.63,13.03,1.86,4.32,2.12,2.78,2.21,2.62
f_0,,0.26,0.38,0.39,0.43,0.3,1.7,1.34,1.54,2.48,14.29,1.51,3.92,1.53,4.2,4.04
b_0,0.36,0.32,0.5,0.36,,0.29,1.4,1.52,2.27,1.51,1.51,15.51,3.21,3.54,1.27,3.32
h_0,0.82,0.5,0.62,0.48,0.51,0.51,,3.0,3.66,2.79,2.65,2.66,,1.68,2.16,7.85
a_0,0.43,0.44,0.4,0.44,0.34,,1.04,1.25,2.12,1.59,1.53,,3.5,20.72,2.07,3.94
e_0,0.47,,0.44,0.44,0.37,,2.17,1.1,2.14,1.81,1.88,1.73,3.86,1.75,20.78,
g_0,0.44,0.6,1.05,0.5,0.58,0.61,2.54,,1.82,3.67,3.17,3.16,3.62,,2.73,
