,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8642.93,3858.63,2944.63,4755.15,7650.3,23443.83,2736423.82,8678876.19,7566957.63,9291363.52,30417173.66,17852216.3,126844693.85,82923747.63,90191964.56,283282898.36
e_1,2384.48,10229.0,2842.71,4960.26,6439.77,31885.1,2646785.19,16027888.6,6925429.44,11133068.45,27438847.18,59572224.54,136118529.17,79898240.73,128383497.92,328288702.69
d_1,2352.32,2260.53,16082.9,2648.54,7632.06,31207.26,2851790.46,3704415.84,8101605.75,23236222.13,37816784.04,58778562.23,155695647.21,166052878.44,172410758.92,335379421.7
c_1,2037.39,2074.68,3038.04,21495.43,15237.46,24548.48,2665957.77,9650080.32,6360876.41,3418975.8,26432541.04,51504846.7,156522097.17,110166503.68,108581374.13,279348187.46
b_1,1666.08,2375.31,3804.9,4288.64,47651.6,66651.37,2639053.98,7568629.88,6813139.45,9343013.15,10825575.51,47218349.72,95252151.91,74999656.48,71738801.85,321918425.05
a_1,2191.91,2045.21,3841.23,4356.73,7257.35,254176.89,2565019.75,7277363.96,7499291.43,11948454.95,32396477.66,73712128.25,157828693.85,146749280.55,75657406.86,432629975.71
h_1,3514.61,2045.79,4577.85,4975.06,7860.66,29537.35,9163074.94,10119512.84,14158800.14,14399507.3,36837162.33,53337502.91,93990314.92,178611304.42,158281562.46,543700951.57
d_0,2750.19,2779.7,1878.15,10208.76,9306.69,32399.58,3337862.77,21238099.44,7116546.62,10504402.95,33261906.41,64935246.91,172722901.55,171116333.68,118325124.35,458597157.63
g_1,2159.15,2221.37,6546.29,4929.65,9126.77,34763.93,2638843.6,9053045.32,31127416.09,12112176.36,47023962.52,125490579.27,160401491.17,159798513.87,171078408.96,304153695.9
c_0,2713.36,2257.45,4764.03,3181.64,8569.89,37067.17,3907369.79,9340845.07,14031429.67,31006128.04,77711426.9,73213630.01,192748925.44,162318738.11,234677693.65,492672488.23
b_0,2543.63,3156.09,4940.47,5373.44,4232.05,25615.52,3830431.43,11087645.49,12006000.12,14072667.46,87810828.61,80888014.71,157587429.92,192088038.13,376788074.8,392731789.8
f_0,1372.46,2234.91,5629.44,5030.83,12749.39,34623.94,2751966.53,9737198.09,11308931.48,15042142.57,41614046.89,170689646.97,216194928.16,350459022.59,158271816.66,502976313.23
h_0,3330.07,2558.34,3892.68,5199.43,9420.96,49930.36,1945227.94,11019705.87,12042385.5,14485497.16,42384292.53,72823548.59,115550975.95,180010761.12,163646146.48,552204430.28
e_0,2494.84,1360.22,4737.78,5462.25,11812.13,33787.09,4048938.2,12535453.74,12005064.05,15793268.27,45687193.18,81125222.96,194547947.11,490722047.83,135731630.25,740023537.8
a_0,2655.8,2404.11,4937.27,5995.16,9419.8,12066.82,3828887.21,9129080.44,9123848.68,15793268.27,40130642.65,73750202.69,168949533.02,153133121.31,462879662.14,418274173.54
g_0,1839.74,2094.58,7371.05,4883.35,11138.07,35194.23,3642668.16,9827664.36,8516947.72,14293774.71,38690725.83,126444362.17,169499857.23,160490494.4,185181339.69,332884826.79
