,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,113.43,41.82,39.68,40.01,63.9,180.23,5652.5,6211.99,17002.29,8010.47,20555.1,23648.4,44695.47,61415.06,70199.54,97181.68
f_1,31.97,113.15,64.63,51.86,69.36,160.02,5103.24,10053.76,11852.79,8681.71,16090.42,8638.55,51509.02,42793.63,43762.74,110108.17
e_1,31.88,32.39,128.65,44.79,70.12,148.8,4626.25,16393.26,9710.65,10394.85,14674.51,20961.08,51411.44,53618.83,27504.96,113796.76
c_1,35.88,27.18,36.91,144.08,105.81,106.74,4630.97,8245.33,4101.0,9768.4,11990.08,20819.47,45216.7,56237.89,65810.24,131568.51
b_1,29.7,26.72,31.49,33.58,203.05,250.28,4685.78,9190.55,6979.31,7730.33,7026.61,18586.45,33344.44,36654.68,60942.56,70537.98
a_1,20.94,28.04,24.27,30.89,25.64,429.52,2545.7,5117.11,6439.32,5814.69,10811.82,15254.59,29036.33,21540.8,37017.93,77979.85
h_1,11.21,14.38,10.98,15.25,21.12,58.73,3188.99,2959.76,3036.52,3585.41,4782.19,6386.33,7996.16,16537.07,22855.71,39804.02
d_0,3.54,8.95,8.24,22.04,17.76,58.83,1268.18,4348.17,2693.45,2385.58,5405.1,5406.09,13629.66,16140.69,16566.13,32659.13
c_0,8.39,8.43,11.13,9.82,18.56,49.08,1518.12,2731.23,4637.12,2627.01,6779.99,6371.54,13027.13,17028.61,16813.67,36926.71
g_1,13.08,8.41,7.28,10.91,19.74,43.82,1096.38,2313.65,2626.03,5554.54,4122.48,7516.28,11031.02,9418.44,15525.93,22872.76
b_0,7.34,8.97,7.9,13.43,10.21,31.37,1367.33,2039.95,2336.3,2559.41,6742.98,5390.3,11884.95,21766.54,19759.3,26003.84
f_0,9.1,4.34,7.67,10.55,14.75,26.46,1037.99,2245.11,2476.37,2172.33,3605.71,7957.55,11262.09,13175.14,28728.06,20298.15
h_0,6.2,7.18,5.76,7.68,11.79,31.9,503.58,1623.49,1847.75,2277.72,3059.91,3572.65,4814.25,10811.73,10118.79,26760.89
a_0,5.77,6.59,6.42,7.35,9.62,15.7,892.66,1285.83,1503.64,1835.06,2373.15,2882.07,6637.42,17702.49,9592.25,15462.84
e_0,5.45,6.03,4.7,6.93,10.59,21.94,625.36,1389.05,1975.02,1652.91,1962.12,2892.59,8254.66,8402.36,20214.77,16818.68
g_0,7.12,4.12,4.09,4.86,9.62,19.79,533.1,1027.77,1238.04,797.86,1992.51,3822.28,5016.97,7193.47,9604.84,11378.79
