,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.85,0.96,0.88,0.89,0.85,0.19,0.2,0.28,0.18,0.19,0.24,0.1,0.17,0.18,0.13
e_1,0.6,0.42,1.05,1.03,0.95,0.87,0.27,0.22,0.29,0.22,0.2,0.24,0.14,0.19,0.3,0.16
c_1,1.03,0.82,0.41,1.14,0.93,0.87,0.28,0.13,0.25,0.24,0.2,0.18,0.15,0.18,0.19,0.13
d_1,1.0,1.21,1.05,0.4,1.08,0.74,0.23,0.28,0.17,0.19,0.2,0.16,0.12,0.17,0.16,0.09
b_1,1.26,0.97,0.6,1.22,0.38,1.15,0.36,0.22,0.31,0.31,0.4,0.23,0.15,0.22,0.21,0.16
a_1,1.53,1.23,1.11,1.4,0.67,0.31,0.47,0.29,0.43,0.28,0.48,0.3,0.21,0.38,0.25,0.19
h_1,1.74,1.66,1.81,1.83,1.75,1.56,0.29,0.39,0.52,0.39,0.37,0.38,0.3,0.31,0.33,0.28
d_0,1.75,1.25,2.14,2.48,2.0,1.68,0.58,0.31,0.55,0.41,0.39,0.37,0.31,0.38,0.39,0.33
g_1,2.33,2.06,2.1,1.89,2.06,1.48,0.46,0.47,0.26,0.42,0.4,0.37,0.24,0.36,0.35,0.36
c_0,2.15,2.21,3.31,1.2,2.26,1.82,0.6,0.62,0.46,0.29,0.39,0.4,0.32,0.38,0.37,0.3
b_0,2.03,2.25,3.12,1.65,3.05,1.87,0.58,0.47,0.55,0.27,0.26,0.45,0.33,0.36,0.33,0.33
f_0,2.92,2.4,2.33,2.43,1.87,1.88,0.58,0.55,0.39,0.47,0.44,0.27,0.28,0.38,0.38,0.22
h_0,2.28,2.74,2.47,2.19,2.33,1.79,0.71,0.58,0.74,0.44,0.48,0.43,0.44,0.43,0.44,0.32
a_0,2.48,2.51,2.57,2.22,2.91,2.93,0.67,0.56,0.79,0.43,0.29,0.51,0.34,0.27,0.47,0.31
e_0,3.35,3.16,2.42,2.34,2.33,2.48,0.69,0.56,0.53,0.47,0.48,0.26,0.35,0.4,0.26,0.34
g_0,2.79,2.63,2.93,2.69,2.77,2.18,0.57,0.6,0.89,0.55,0.53,0.52,0.3,0.52,0.47,0.4
