,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.24,0.92,0.45,0.49,0.34,0.33,0.87,0.51,0.86,0.97,1.03,0.26,1.04,0.75,0.66,0.97
e_1,0.55,2.28,0.44,0.59,0.43,0.34,0.85,0.7,0.85,1.95,0.98,0.97,1.23,0.82,0.37,0.92
d_1,0.51,0.43,2.4,0.33,0.47,0.29,0.9,1.09,1.87,0.37,1.06,1.13,1.32,0.96,0.87,1.27
c_1,0.51,0.41,0.45,2.45,0.87,0.3,0.92,0.75,0.32,1.0,0.78,0.81,1.16,0.87,0.84,0.9
b_1,0.51,0.5,0.43,0.47,2.56,0.81,0.75,0.77,0.84,0.9,0.39,0.88,0.88,0.65,0.67,0.89
a_1,0.65,0.46,0.49,0.56,0.33,3.07,0.93,0.76,1.11,1.25,1.06,0.95,1.51,0.4,0.77,0.69
h_1,0.93,0.55,0.69,0.43,0.47,0.47,3.02,1.1,1.15,1.25,1.0,0.99,0.87,0.91,0.8,1.69
g_1,0.51,0.46,1.01,0.52,0.54,0.41,0.99,3.33,1.18,1.04,1.25,1.79,1.65,1.03,0.77,0.83
c_0,0.73,0.63,0.69,0.27,0.44,0.44,1.03,0.93,2.73,1.26,2.4,1.23,1.57,1.32,0.91,1.44
d_0,0.66,0.58,0.27,1.16,0.48,0.47,0.93,0.97,0.8,2.39,1.15,1.08,1.87,1.04,1.04,1.32
b_0,0.73,0.53,0.69,0.65,0.28,0.38,1.24,0.94,1.53,1.14,2.75,1.16,1.67,2.4,1.25,1.43
f_0,0.42,0.47,0.64,0.53,0.61,0.52,1.26,1.0,1.43,1.23,1.35,2.99,1.93,1.04,2.15,1.55
h_0,0.88,0.58,0.66,0.7,0.5,0.35,0.61,1.34,1.2,1.14,1.19,1.05,0.78,1.12,1.28,1.72
a_0,0.57,0.63,0.6,0.7,0.57,0.23,1.31,0.84,1.26,1.19,1.29,1.37,1.54,2.91,1.04,1.44
e_0,0.85,0.33,0.58,0.64,0.4,0.48,1.2,1.17,1.36,1.35,1.36,1.22,1.75,1.14,3.13,1.19
g_0,0.44,0.56,1.04,0.56,0.55,0.51,1.03,0.74,1.3,1.0,1.15,1.89,1.21,0.78,1.03,0.68
