,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,10224.89,6315.16,6376.6,11814.55,15812.66,54404.83,8333916.32,33266376.02,16495272.55,22271513.29,37469353.27,39086550.24,205457278.65,246215408.26,431779829.76,236640656.04
f_1,7426.39,13410.24,6373.75,9574.82,14121.75,45540.87,8420244.45,22565996.38,17265656.7,24612598.27,36298701.31,27297640.99,204686839.69,264754670.24,360512771.83,221028390.56
d_1,4525.98,6658.67,16022.13,7910.89,14529.82,47747.6,9087117.12,14118052.89,22640122.34,44680188.22,41051258.07,39748665.89,213871960.72,357561626.24,428829469.12,324152266.65
c_1,4042.41,5850.58,6018.63,24426.88,30980.47,61289.42,8416085.2,21210497.08,16962814.28,15619937.97,26461218.07,38932517.86,191763813.37,286161721.44,396529038.61,297175126.09
b_1,4412.23,5763.47,6593.82,10153.21,45923.26,106484.42,8774792.37,19511429.82,15930104.35,23291953.89,23503090.22,40184514.92,187320269.87,209762779.61,361642076.59,337524321.57
a_1,4971.47,6753.29,6205.3,10208.15,16499.7,205285.4,8493366.29,22219410.71,18510556.88,21777365.78,30362015.29,39903464.26,221619754.08,197203339.39,394061096.58,312987196.18
h_1,5082.69,8029.52,8126.77,9291.29,15778.25,60918.54,16397698.45,21863862.16,24391581.14,26574090.43,37609272.54,45312166.0,175912085.8,304237427.93,586265480.82,325495531.32
d_0,4542.82,6611.71,5103.24,18797.29,21328.18,48818.18,9073064.5,32564875.33,17701311.05,16706548.08,36464991.5,42541261.1,205872682.07,329990354.05,434589938.27,314768046.03
g_1,4555.8,6023.03,10953.88,10180.73,15278.16,56864.86,8719355.55,17813715.36,43249256.78,30811468.81,37690409.03,62372781.03,200703498.36,343548893.28,338036234.81,371419877.02
c_0,5021.93,7453.63,8105.54,8753.15,13035.61,61481.61,10965359.42,22189259.68,22806315.06,41622400.67,66472232.35,48739257.67,256005576.61,418750671.45,504768334.84,382761866.31
b_0,5024.44,7257.65,8190.28,11003.43,12316.58,47709.09,10339636.64,24120031.74,21772811.04,26716902.69,62076574.91,47639495.62,241213894.45,608849987.68,497850439.15,350087887.14
f_0,4176.32,6064.0,7843.34,11579.48,19317.85,61900.03,10136728.9,23872065.63,22454394.69,25648654.83,42491045.31,72484481.79,228278413.79,313954819.73,501494966.12,609113576.28
h_0,5077.09,8199.97,7880.78,10603.22,15916.93,51829.62,7031901.57,20665429.85,23690988.39,25305499.17,37891442.17,47172211.21,169464474.3,304153153.75,549899548.83,334047281.7
a_0,4835.04,7395.59,7639.86,11730.24,17421.96,34128.77,10414364.24,22047165.99,22307229.5,26089369.08,40306987.27,46672538.67,270370235.81,597201768.54,475464327.79,316878125.45
g_0,4390.95,5721.22,10592.14,11190.25,17617.16,56879.52,8905453.19,20032463.33,18269443.83,25359140.93,34675232.12,61744462.92,215262898.87,331049834.6,442328326.46,443061741.13
e_0,4039.89,6986.34,7573.54,12978.8,18430.79,64269.63,9879617.79,20470246.83,21934360.43,23651057.04,38541173.49,40681174.55,222796104.46,343890120.71,425480303.25,672314990.63
