,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,0.94,0.86,0.93,0.92,0.76,0.34,0.34,0.32,0.43,0.31,0.36,0.22,0.3,0.27,0.27
e_1,0.74,0.65,0.89,1.05,0.98,0.85,0.47,0.46,0.34,0.43,0.39,0.45,0.29,0.32,0.39,0.33
d_1,1.11,1.11,0.63,0.94,0.95,0.76,0.4,0.46,0.42,0.32,0.36,0.33,0.29,0.34,0.3,0.21
c_1,0.99,0.89,1.13,0.63,1.03,0.9,0.42,0.25,0.37,0.39,0.3,0.35,0.29,0.33,0.33,0.29
b_1,1.09,1.03,1.07,0.69,0.62,1.15,0.51,0.37,0.47,0.47,0.51,0.39,0.34,0.32,0.34,0.34
a_1,1.4,1.16,1.29,1.08,0.78,0.57,0.62,0.46,0.49,0.59,0.48,0.41,0.34,0.53,0.38,0.32
h_1,1.75,1.45,1.58,1.62,1.43,1.15,0.53,0.55,0.58,0.73,0.56,0.49,0.5,0.51,0.49,0.44
d_0,1.67,1.18,1.78,2.15,1.87,1.5,0.83,0.56,0.63,0.81,0.6,0.73,0.54,0.59,0.68,0.58
c_0,1.97,1.97,1.12,2.05,1.65,1.57,0.82,0.79,0.54,0.78,0.76,0.57,0.57,0.68,0.57,0.48
g_1,1.78,1.68,1.97,1.95,1.68,1.36,0.63,0.59,0.64,0.51,0.63,0.65,0.43,0.55,0.54,0.55
b_0,1.98,1.68,1.51,2.23,1.9,1.63,0.82,0.72,0.45,0.72,0.53,0.54,0.53,0.65,0.53,0.45
f_0,2.17,1.71,1.84,1.93,1.89,1.66,0.89,0.68,0.78,0.6,0.76,0.51,0.54,0.7,0.78,0.43
h_0,2.18,1.87,1.94,2.05,1.81,1.79,1.05,0.69,0.68,0.89,0.73,0.73,0.66,0.6,0.59,0.64
a_0,2.25,2.17,1.75,2.06,2.39,1.95,0.85,0.7,0.62,0.92,0.53,0.64,0.74,0.52,0.56,0.57
e_0,2.56,2.18,1.97,2.18,2.16,2.06,0.96,0.73,0.78,0.93,0.84,0.43,0.7,0.78,0.52,0.53
g_0,2.39,2.15,2.13,2.27,1.9,1.82,0.88,0.81,0.79,0.98,0.88,0.76,0.53,0.77,0.68,0.62
