,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,2.54,5.13,4.38,4.05,4.2,1.31,1.52,0.91,0.85,0.79,1.28,0.66,1.19,2.85,0.8
f_1,3.92,0.45,3.9,4.23,4.39,4.05,0.88,1.43,0.96,0.79,0.86,2.7,0.51,0.83,0.94,0.84
d_1,4.99,4.09,0.43,5.11,4.03,4.33,1.19,0.83,4.58,1.07,0.87,0.83,0.58,0.95,0.83,0.36
c_1,4.41,4.61,5.31,0.41,4.31,6.28,1.47,1.44,0.5,3.8,0.95,0.89,0.67,0.77,0.81,0.62
b_1,5.5,5.28,5.21,2.51,0.39,6.1,1.32,1.38,1.01,1.54,5.08,0.96,0.69,1.0,0.96,0.82
a_1,7.54,6.17,5.71,7.3,3.43,0.31,2.32,1.88,1.92,1.43,1.28,1.49,0.82,4.92,1.55,0.81
h_1,5.51,5.57,5.97,6.14,5.93,4.23,0.34,1.66,0.86,0.88,1.07,1.2,2.14,0.8,1.07,0.72
g_1,6.6,4.93,4.26,5.76,5.74,5.32,1.26,0.33,1.32,0.97,1.25,1.26,0.86,1.27,1.28,1.94
d_0,2.72,6.69,15.54,5.93,5.87,6.64,1.69,1.69,0.44,1.04,1.25,1.14,0.89,1.19,0.92,0.96
c_0,4.97,6.78,2.75,17.07,6.28,4.85,1.5,1.44,1.73,0.44,1.18,1.22,0.88,1.41,1.05,0.98
b_0,5.77,5.86,4.91,8.87,14.48,5.81,1.49,1.27,1.44,0.57,0.41,1.0,0.95,1.05,1.17,1.01
f_0,7.18,23.97,6.0,5.91,5.2,3.89,1.62,1.17,1.19,1.23,1.22,0.38,0.72,1.22,0.88,0.45
h_0,5.81,7.3,6.38,7.45,6.75,5.76,6.19,1.86,1.45,1.35,1.23,1.03,2.86,1.48,1.32,1.03
a_0,4.95,8.32,7.56,6.57,11.9,,3.15,2.1,1.16,1.17,0.71,1.23,0.87,0.35,2.31,1.06
e_0,18.04,12.49,5.34,5.83,10.09,5.69,2.25,2.06,1.44,1.31,1.25,0.53,1.05,1.47,0.33,1.09
g_0,7.85,8.66,7.7,8.64,8.94,7.7,1.59,3.03,1.62,1.5,1.43,1.44,0.69,1.99,1.17,2.22
