,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.08,2.18,2.28,2.14,2.0,1.67,0.47,0.66,0.51,0.47,0.44,0.54,0.27,0.43,0.33,0.46
e_1,1.47,1.09,2.61,2.37,2.79,2.36,0.69,0.73,0.57,0.51,0.51,0.76,0.37,0.48,0.38,0.74
c_1,2.43,2.0,1.09,3.28,2.21,2.46,0.79,0.75,0.31,0.61,0.56,0.53,0.35,0.47,0.38,0.51
d_1,2.77,2.83,3.0,1.08,2.76,2.44,0.61,0.47,0.77,0.47,0.45,0.46,0.34,0.48,0.24,0.47
b_1,3.89,2.97,1.81,3.61,1.1,2.93,0.98,0.95,0.64,0.92,1.1,0.68,0.46,0.76,0.5,0.53
a_1,5.19,4.69,4.27,4.49,2.64,1.12,1.44,1.48,1.29,1.0,1.06,1.31,0.81,1.55,0.7,1.07
h_1,9.95,9.52,9.77,9.45,8.85,8.58,1.55,2.66,2.11,2.09,1.92,2.02,1.72,1.72,1.34,1.88
g_1,11.98,11.96,10.94,10.07,11.53,11.42,2.79,1.6,2.24,2.15,2.25,2.11,1.28,2.19,1.66,2.07
d_0,10.33,7.49,12.99,14.62,12.14,11.56,3.61,3.55,1.81,2.26,2.68,2.6,1.92,2.86,2.04,2.71
c_0,14.14,14.13,20.68,8.1,13.85,11.85,3.81,3.57,4.1,1.87,2.54,2.71,2.01,3.11,1.87,2.78
b_0,14.97,14.41,21.19,11.71,19.73,14.77,3.83,3.19,3.38,1.59,1.84,2.61,1.95,2.69,1.7,2.34
f_0,19.45,16.85,14.74,13.46,14.36,15.77,4.54,2.78,3.04,2.61,2.95,1.79,2.03,2.73,1.34,2.71
h_0,17.11,15.95,16.87,14.17,15.86,13.68,5.02,4.21,3.66,2.89,3.22,2.89,3.07,3.23,2.24,2.76
a_0,18.51,18.41,21.74,19.01,25.4,22.15,5.57,4.31,3.91,2.86,2.14,3.59,2.47,2.0,2.46,3.71
g_0,24.1,23.61,24.4,20.71,21.1,18.43,5.15,6.29,5.27,3.92,4.2,4.26,2.83,4.27,3.81,4.55
e_0,31.67,27.61,25.12,20.85,27.16,27.78,7.41,5.04,4.86,3.52,4.45,2.43,3.19,3.52,2.55,2.03
