,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,1.1,1.57,1.42,3.01,20.68,28.23,42.02,33.27,52.9,49.84,76.92,92.68,105.78,148.26
f_1,1.18,1.0,1.08,1.34,1.21,2.37,15.05,25.79,28.34,34.24,41.01,43.62,61.5,86.92,83.95,109.17
d_1,0.91,0.92,1.0,0.96,1.08,2.25,14.92,18.51,24.61,39.07,35.09,40.52,60.65,84.93,80.09,77.8
c_1,0.62,0.74,1.03,1.0,1.44,2.25,13.62,18.16,17.78,25.54,31.95,27.86,57.67,69.73,83.67,99.9
b_1,0.68,0.85,0.91,0.72,1.0,3.08,13.91,18.46,22.71,29.63,34.56,32.25,55.39,60.14,88.53,98.84
a_1,0.34,0.41,0.44,0.44,0.33,1.0,6.65,10.71,10.74,13.22,15.36,20.9,28.73,43.56,41.09,39.48
h_1,0.05,0.07,0.07,0.08,0.07,0.15,1.0,1.49,1.71,1.82,2.25,2.65,4.19,4.92,5.79,8.52
g_1,0.04,0.04,0.05,0.05,0.05,0.09,0.65,1.0,1.12,1.45,2.17,1.6,2.22,3.49,4.02,4.82
d_0,0.02,0.03,0.04,0.06,0.04,0.1,0.61,0.87,1.0,0.99,1.5,1.39,2.42,2.99,3.5,4.67
c_0,0.03,0.03,0.03,0.04,0.03,0.07,0.55,0.71,0.99,1.0,1.39,1.69,2.02,2.93,2.67,3.56
f_0,0.02,0.03,0.03,0.03,0.03,0.06,0.43,0.46,0.68,0.71,1.0,0.98,1.74,1.91,3.62,2.48
b_0,0.02,0.02,0.02,0.04,0.03,0.05,0.38,0.67,0.71,0.57,1.05,1.0,1.6,2.94,2.29,2.69
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.23,0.45,0.42,0.5,0.58,0.61,1.0,1.38,1.23,1.9
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.21,0.29,0.32,0.36,0.52,0.34,0.69,1.0,1.13,1.58
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.23,0.32,0.36,0.31,0.46,0.84,0.85,1.0,1.05
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.2,0.21,0.29,0.42,0.38,0.52,0.62,0.93,1.0
