,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.89,0.33,0.19,0.19,0.15,0.09,0.13,0.11,0.14,0.12,0.14,0.06,0.1,0.14,0.12,0.05
e_1,0.23,0.89,0.15,0.2,0.13,0.1,0.19,0.14,0.31,0.18,0.19,0.16,0.13,0.16,0.14,0.05
d_1,0.2,0.17,0.89,0.15,0.13,0.14,0.15,0.14,0.07,0.33,0.19,0.14,0.11,0.19,0.12,0.11
c_1,0.2,0.2,0.17,0.89,0.27,0.09,0.14,0.11,0.15,0.05,0.11,0.12,0.11,0.15,0.11,0.08
b_1,0.17,0.17,0.19,0.18,0.88,0.23,0.15,0.12,0.17,0.12,0.05,0.15,0.08,0.15,0.11,0.09
a_1,0.2,0.19,0.21,0.16,0.15,0.88,0.2,0.14,0.15,0.17,0.12,0.12,0.05,0.17,0.12,0.08
h_1,0.33,0.2,0.24,0.21,0.15,0.12,0.56,0.22,0.23,0.21,0.16,0.14,0.11,0.11,0.22,0.12
g_1,0.2,0.23,0.41,0.23,0.14,0.12,0.17,0.55,0.11,0.18,0.16,0.2,0.1,0.19,0.11,0.1
d_0,0.24,0.21,0.11,0.41,0.19,0.13,0.21,0.16,0.41,0.15,0.17,0.16,0.14,0.18,0.15,0.11
c_0,0.27,0.24,0.25,0.12,0.14,0.13,0.2,0.2,0.22,0.44,0.42,0.19,0.17,0.21,0.16,0.12
b_0,0.28,0.24,0.24,0.23,0.12,0.11,0.21,0.17,0.22,0.18,0.4,0.13,0.32,0.23,0.17,0.13
f_0,0.17,0.19,0.28,0.25,0.16,0.16,0.23,0.16,0.25,0.21,0.2,0.4,0.13,0.17,0.17,0.26
a_0,0.31,0.23,0.24,0.24,0.17,0.05,0.22,0.19,0.2,0.17,0.22,0.15,0.4,0.2,0.17,0.08
h_0,0.4,0.24,0.25,0.22,0.16,0.1,0.11,0.24,0.18,0.17,0.17,0.16,0.14,0.13,0.21,0.12
g_0,0.2,0.23,0.35,0.21,0.17,0.15,0.21,0.1,0.21,0.18,0.16,0.26,0.16,0.2,0.1,0.14
e_0,0.25,0.17,0.25,0.28,0.17,0.13,0.21,0.17,0.22,0.23,0.2,0.11,0.17,0.22,0.17,0.38
