,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.41,0.53,0.87,0.89,0.85,0.81,0.51,0.48,0.44,0.33,0.39,0.43,0.33,0.34,0.36,0.63
f_1,0.87,0.41,0.74,0.84,0.77,0.74,0.36,0.45,0.36,0.4,0.37,0.48,0.22,0.32,0.34,0.34
d_1,0.85,0.91,0.39,0.72,0.81,0.85,0.41,0.32,0.63,0.38,0.37,0.33,0.33,0.21,0.35,0.35
c_1,0.67,0.81,1.06,0.39,0.92,0.7,0.43,0.4,0.23,0.43,0.29,0.33,0.32,0.32,0.33,0.31
b_1,0.79,0.97,0.79,0.53,0.37,0.88,0.43,0.51,0.37,0.52,0.5,0.38,0.35,0.33,0.39,0.38
a_1,0.87,0.92,0.81,0.84,0.51,0.3,0.52,0.54,0.41,0.32,0.4,0.34,0.32,0.34,0.47,0.34
h_1,0.67,0.8,0.69,0.76,0.77,0.62,0.25,0.41,0.33,0.3,0.31,0.37,0.33,0.3,0.31,0.28
g_1,0.7,0.73,0.74,0.75,0.77,0.63,0.32,0.23,0.31,0.33,0.33,0.36,0.23,0.36,0.38,0.33
d_0,0.48,0.69,0.94,0.91,0.73,0.75,0.44,0.48,0.25,0.3,0.34,0.38,0.3,0.31,0.31,0.35
c_0,0.83,0.73,0.46,0.99,0.63,0.85,0.44,0.37,0.43,0.24,0.5,0.31,0.3,0.33,0.3,0.3
b_0,0.71,0.7,0.63,0.98,0.92,0.69,0.39,0.39,0.32,0.19,0.22,0.31,0.3,0.29,0.36,0.3
f_0,0.63,1.04,0.65,0.85,0.72,0.73,0.32,0.27,0.32,0.3,0.36,0.22,0.35,0.23,0.35,0.35
h_0,0.7,0.91,0.66,0.7,0.63,0.64,0.49,0.44,0.31,0.34,0.3,0.28,0.32,0.3,0.28,0.3
g_0,0.73,0.77,0.85,0.7,0.68,0.66,0.3,0.44,0.32,0.27,0.28,0.3,0.23,0.33,0.31,0.26
a_0,0.76,0.8,0.68,0.71,0.84,0.93,0.36,0.33,0.33,0.29,0.19,0.27,0.29,0.32,0.19,0.3
e_0,0.72,0.94,0.7,0.79,0.68,0.63,0.38,0.35,0.34,0.32,0.33,0.19,0.27,0.31,0.36,0.19
