,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.89,1.12,0.87,0.97,0.61,0.5,0.33,0.45,0.42,0.42,,0.35,0.35,0.26,0.35
d_1,1.12,1.0,0.91,0.92,0.72,0.73,0.58,0.39,0.57,,0.35,0.48,0.3,0.3,0.3,0.32
e_1,0.89,1.1,1.0,0.79,0.94,0.7,0.53,0.45,0.42,0.58,0.34,0.36,0.37,0.26,0.37,
c_1,1.15,1.09,1.27,1.0,1.09,1.12,0.48,0.47,,0.36,0.36,0.41,0.35,0.35,0.37,0.31
b_1,1.04,1.39,1.07,0.92,1.0,1.26,0.59,0.47,0.48,0.46,,0.4,0.41,0.3,0.29,0.37
a_1,1.64,1.37,1.42,0.89,0.79,1.0,0.8,0.58,0.53,0.46,,,0.45,,0.38,
h_1,2.02,1.71,1.89,2.1,1.71,1.25,1.0,0.98,0.95,0.89,0.78,0.7,,0.5,0.85,0.67
g_1,3.0,2.6,2.2,2.11,2.12,1.73,1.02,1.0,0.93,0.65,0.97,0.91,0.71,0.93,,
c_0,2.23,1.75,2.37,,2.08,1.9,1.06,1.08,1.0,1.11,1.31,1.03,0.76,,0.82,0.57
d_0,2.38,,1.73,2.76,2.16,2.15,1.13,1.53,0.9,1.0,1.06,0.82,0.85,0.76,0.64,0.99
b_0,2.39,2.82,2.91,2.75,,,1.29,1.03,0.76,0.94,1.0,1.11,1.09,1.41,0.89,0.84
f_0,,2.1,2.79,2.43,2.52,,1.43,1.1,0.97,1.22,0.9,1.0,1.04,0.82,0.73,1.07
h_0,2.88,3.35,2.73,2.83,2.45,2.23,,1.41,1.32,1.18,0.92,0.96,,0.9,1.15,0.83
a_0,2.82,3.29,3.78,2.87,3.37,,2.0,1.08,,1.32,0.71,1.23,1.11,1.0,0.97,
g_0,3.82,3.34,2.67,2.68,3.4,2.62,1.18,,1.23,1.55,1.12,1.38,0.87,1.04,,1.07
e_0,2.88,3.14,,3.2,2.68,,1.5,,1.77,1.01,1.19,0.93,1.21,,0.94,1.0
