,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,12.76,10.1,11.04,13.01,10.49,2.62,4.91,2.65,2.17,2.66,,1.41,3.24,2.01,3.57
e_1,6.7,0.17,14.85,12.8,12.28,13.68,3.39,4.25,3.25,2.43,3.19,2.4,1.67,3.06,2.23,
d_1,12.16,12.02,0.17,10.91,11.91,16.87,3.71,2.42,2.63,,2.85,2.95,1.88,2.75,1.19,2.1
c_1,13.18,11.49,16.57,0.15,10.27,16.96,3.63,2.74,,1.5,2.53,2.83,1.9,,1.97,2.13
b_1,13.4,13.92,12.26,6.72,0.14,13.95,4.9,3.24,3.09,2.48,,2.26,1.55,3.03,2.12,2.45
a_1,13.83,19.15,17.93,16.96,8.18,0.1,3.55,3.62,2.05,2.04,3.14,1.98,2.63,,1.46,
h_1,3.15,3.39,3.59,3.39,3.16,3.55,0.07,0.92,0.67,0.64,0.65,0.67,,0.81,0.39,0.52
g_1,3.6,5.66,2.31,4.51,4.43,3.86,0.89,0.06,0.68,0.55,0.58,0.91,0.33,0.48,,
c_0,2.65,2.5,1.47,,2.87,2.91,0.59,0.58,0.08,0.72,0.61,0.7,0.31,0.44,0.41,0.42
d_0,2.51,1.32,,2.21,3.23,3.65,0.75,0.73,0.4,0.09,0.48,0.43,0.4,0.61,0.3,0.39
b_0,3.38,5.18,2.3,3.19,,2.48,0.49,0.58,0.35,0.49,0.07,0.39,0.34,0.64,0.4,0.52
f_0,,2.33,3.33,2.0,2.44,1.9,0.9,0.6,0.46,0.51,0.6,0.07,0.35,0.4,0.28,0.43
h_0,1.35,1.5,1.67,2.53,1.46,1.26,,0.53,0.3,0.3,0.47,0.34,,0.27,0.25,
a_0,3.07,3.93,2.89,,2.84,,0.86,1.01,0.59,0.58,0.23,0.46,0.24,0.05,0.35,
g_0,2.36,1.51,1.9,1.46,2.23,1.53,0.29,,0.32,0.36,0.29,0.46,0.17,0.35,,
e_0,3.57,,2.97,2.8,2.19,,0.74,,0.75,0.45,0.46,0.22,,,,0.04
