,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.05,1.19,1.62,1.9,1.73,1.63,0.7,0.69,0.56,0.62,0.47,0.58,0.41,0.46,0.4,0.5
f_1,1.84,1.05,1.64,1.72,1.81,1.41,0.55,0.57,0.52,0.65,0.51,0.54,0.32,0.46,0.45,0.39
d_1,1.94,1.81,1.05,1.9,1.56,1.47,0.58,0.62,0.59,0.47,0.55,0.49,0.38,0.45,0.26,0.38
c_1,1.57,2.02,2.01,1.05,1.98,1.45,0.73,0.39,0.66,0.67,0.53,0.51,0.43,0.46,0.4,0.49
b_1,2.07,2.11,2.26,1.31,1.06,2.01,0.82,0.58,0.69,0.82,0.76,0.54,0.47,0.57,0.43,0.52
a_1,2.64,3.35,2.73,2.68,1.54,1.06,1.28,0.92,0.86,1.21,1.06,0.71,0.69,1.05,0.76,0.66
h_1,4.86,5.08,4.8,4.94,4.42,3.15,1.26,1.58,1.38,1.77,1.36,1.15,1.21,1.11,1.13,0.99
d_0,3.78,5.19,7.74,6.03,5.54,4.45,2.16,1.4,1.59,1.98,1.72,1.53,1.32,1.36,1.39,1.58
c_0,5.56,5.81,3.84,7.24,5.39,4.5,2.14,2.3,1.39,2.03,1.83,1.68,1.2,1.69,1.13,1.38
g_1,5.47,5.15,6.46,5.91,5.46,4.23,1.64,1.6,1.67,1.29,1.49,1.77,0.95,1.25,1.31,1.25
b_0,6.36,5.95,5.04,7.73,6.85,4.59,2.28,1.93,1.22,2.13,1.39,1.62,1.57,2.03,1.25,1.64
f_0,7.3,9.39,6.69,6.97,7.36,5.36,3.05,2.16,2.05,1.78,2.18,1.43,1.54,2.0,1.18,2.06
h_0,7.89,8.69,8.24,7.33,8.21,6.09,3.96,2.52,2.66,3.52,2.17,2.22,2.05,1.96,2.01,1.86
a_0,8.82,8.86,8.08,9.4,9.03,6.54,3.08,2.97,2.03,3.15,1.51,1.96,1.82,1.44,1.87,1.82
g_0,9.48,8.82,9.8,8.77,8.7,7.23,2.85,2.84,2.75,3.69,2.85,2.63,1.67,1.98,2.32,1.99
e_0,11.58,12.16,10.22,8.05,8.68,7.35,3.71,2.43,2.64,2.91,2.98,1.54,2.48,2.65,2.2,1.56
