,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.14,6.22,9.62,13.25,12.97,11.0,3.58,2.39,3.24,2.46,2.24,2.73,1.54,2.34,1.55,12.24
f_1,12.5,1.14,10.2,11.17,12.06,9.08,2.26,2.1,3.35,1.9,2.4,6.85,1.22,2.46,2.09,2.02
d_1,11.67,10.69,1.14,13.54,11.8,14.43,3.45,11.81,2.08,2.62,2.37,2.65,1.6,2.19,1.08,2.16
c_1,11.22,14.4,16.07,1.14,12.85,10.33,4.11,1.34,3.92,9.58,2.89,2.25,1.91,2.67,1.96,1.64
b_1,15.58,16.03,15.7,6.75,1.15,16.02,5.59,3.36,4.25,5.31,14.46,3.53,2.19,3.37,2.15,3.94
a_1,19.7,28.67,26.83,26.73,9.13,1.15,4.59,4.01,11.28,4.17,3.78,4.05,3.56,15.04,3.16,3.17
h_1,26.99,29.39,28.63,27.43,31.24,28.66,1.88,5.43,8.72,4.55,5.49,5.13,10.68,6.45,4.76,7.72
d_0,19.81,34.58,121.68,28.17,33.12,33.92,10.73,2.75,10.22,8.68,7.06,6.61,5.47,7.37,5.85,7.72
g_1,42.32,36.36,23.99,42.84,39.84,42.4,7.56,9.09,1.87,7.3,7.23,6.39,3.56,6.45,12.75,8.07
c_0,35.81,35.99,18.22,84.51,38.18,39.13,9.92,9.9,9.91,2.51,7.7,7.67,5.62,6.81,7.14,7.89
b_0,34.17,33.27,38.28,37.67,105.73,48.45,9.8,8.63,10.06,3.87,2.49,6.85,4.36,5.31,5.33,6.96
f_0,32.96,117.57,37.03,44.67,37.15,35.7,11.18,7.65,7.88,5.94,7.91,2.52,5.08,6.69,3.19,5.73
h_0,47.74,43.54,54.08,48.86,67.05,56.53,39.7,9.9,14.22,9.44,9.88,9.75,17.79,7.52,8.11,11.09
a_0,65.33,70.54,49.38,55.84,58.49,,19.37,11.41,17.68,11.07,6.59,9.75,9.49,2.8,9.65,12.24
g_0,51.01,69.16,61.95,65.15,88.68,58.14,11.85,12.94,40.88,9.73,11.86,10.65,8.21,11.65,17.0,12.24
e_0,177.33,100.77,70.98,65.15,42.95,58.14,12.41,12.7,17.68,10.7,10.98,5.75,9.7,11.28,6.74,2.86
