,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.41,0.92,0.82,0.79,0.81,0.76,0.42,0.48,0.31,0.42,0.36,0.34,0.27,0.35,0.32,0.23
e_1,0.8,0.4,0.54,0.88,0.88,0.82,0.51,0.45,0.52,0.39,0.43,0.4,0.36,0.39,0.66,0.36
f_1,0.74,0.88,0.4,0.79,0.81,0.91,0.31,0.37,0.48,0.31,0.43,0.31,0.22,0.33,0.29,0.29
c_1,0.94,0.67,0.83,0.39,0.9,0.78,0.4,0.23,0.44,0.46,0.33,0.31,0.34,0.36,0.33,0.37
b_1,0.82,0.81,0.99,0.53,0.36,0.87,0.48,0.33,0.42,0.45,0.33,0.72,0.32,0.38,0.4,0.34
a_1,0.83,0.74,0.79,0.99,0.51,0.31,0.58,0.39,0.51,0.41,0.42,0.5,0.4,0.6,0.45,0.35
h_1,0.69,0.67,0.86,0.73,0.66,0.61,0.24,0.33,0.52,0.29,0.34,0.32,0.37,0.31,0.29,0.3
d_0,0.94,0.47,0.74,0.85,0.87,0.7,0.42,0.26,0.4,0.29,0.3,0.34,0.28,0.28,0.31,0.31
g_1,0.85,0.7,0.72,0.78,0.78,0.57,0.28,0.36,0.22,0.33,0.33,0.34,0.25,0.36,0.34,0.29
c_0,0.46,0.82,0.78,1.11,0.71,0.61,0.47,0.48,0.43,0.24,0.36,0.49,0.31,0.34,0.35,0.31
f_0,0.66,0.73,1.05,0.74,0.79,0.63,0.43,0.33,0.29,0.33,0.23,0.34,0.29,0.26,0.36,0.19
b_0,0.63,0.66,0.8,0.95,0.79,0.61,0.4,0.39,0.36,0.18,0.32,0.23,0.29,0.4,0.33,0.25
h_0,0.71,0.63,0.89,0.66,0.74,0.61,0.46,0.33,0.37,0.3,0.31,0.28,0.32,0.28,0.28,0.28
a_0,0.65,0.75,0.74,0.73,0.81,1.04,0.39,0.42,0.31,0.32,0.34,0.19,0.32,0.21,0.28,0.28
e_0,0.7,0.98,1.05,0.76,0.67,0.55,0.4,0.38,0.31,0.3,0.19,0.32,0.27,0.3,0.2,0.27
g_0,0.76,0.72,0.86,0.65,0.59,0.67,0.33,0.33,0.55,0.29,0.37,0.37,0.25,0.32,0.3,0.31
